,Unnamed: 0,NameInstance,tot_real_time,tot_cputime,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,nb_generated_col,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,n,m,first_size_graph,size_after_reduced_cost
64,71.0,wt040_016,1.371312,1.323049,0.393806,0.393814,0.886785,0.035886,0.286783,0.000698,21482,21497,0.000698,99,4/10/2019,4,1,0.8,6,40,4,32854,5660
65,73.0,wt040_016,1.225616,1.191738,0.280144,0.28015100000000004,0.881022,0.0285,0.186062,0.000698,21482,21497,0.000698,95,4/10/2019,4,1,0.8,8,40,4,32854,5560
66,74.0,wt040_016,2.351947,2.310785,1.7207,1.720705,0.534602,0.055002,1.183478,0.002169,38273,38356,0.002169,329,4/10/2019,4,1,0.8,7,40,2,56874,15836
67,75.0,wt040_021,0.7588,0.7103470000000001,0.169399,0.169405,0.530626,0.007897,0.064261,0.000044,22792,22793,0.000044,119,4/10/2019,4,1,0.8,1,40,4,27796,697
68,76.0,wt040_016,2.710897,2.677771,2.079991,2.0799990000000004,0.538903,0.057015,1.541962,0.002169,38273,38356,0.002169,322,4/10/2019,4,1,0.8,8,40,2,56874,15664
69,77.0,wt040_021,0.807439,0.766641,0.220625,0.220628,0.524994,0.015035,0.119371,0.000000,22793,22793,0.000000,134,4/10/2019,4,1,0.8,2,40,4,27796,0
70,78.0,wt040_011,3.986677,3.912784,3.371621,3.371629,0.367192,0.0,2.936761,0.002606,9592,9617,0.002606,258,4/10/2019,4,1,0.8,10,40,2,785193,91600
71,79.0,wt040_016,3.006088,2.956916,2.372716,2.37272,0.5278229999999999,0.052654,1.840935,0.002169,38273,38356,0.002169,326,4/10/2019,4,1,0.8,6,40,2,56874,15680
72,80.0,wt040_021,1.521588,1.444697,0.878885,0.878891,0.5377149999999999,0.027196,0.250341,0.000000,41048,41048,0.000000,374,4/10/2019,4,1,0.8,3,40,2,43044,0
73,81.0,wt040_021,0.7317319999999999,0.691558,0.136101,0.136107,0.530235,0.015713,0.035054,0.000044,22792,22793,0.000044,127,4/10/2019,4,1,0.8,3,40,4,27796,719
74,82.0,wt040_021,1.475082,1.401547,0.8406899999999999,0.8406950000000001,0.538312,0.021479,0.345556,0.000000,41048,41048,0.000000,324,4/10/2019,4,1,0.8,4,40,2,43044,0
75,83.0,wt040_021,1.710593,1.642077,1.085887,1.085892,0.536924,0.018875,0.328974,0.000000,41048,41048,0.000000,441,4/10/2019,4,1,0.8,1,40,2,43044,0
76,84.0,wt040_021,0.769849,0.728212,0.180091,0.180096,0.520818,0.025326,0.082679,0.000000,22793,22793,0.000000,125,4/10/2019,4,1,0.8,4,40,4,27796,0
77,85.0,wt040_016,1.833427,1.7729580000000005,0.8235709999999999,0.823576,0.8815569999999999,0.0,0.7255050000000001,0.000698,21482,21497,0.000698,91,4/10/2019,4,1,0.8,10,40,4,406274,28011
78,86.0,wt040_021,1.7961779999999998,1.743098,1.159133,1.159139,0.547084,0.036067,0.524169,0.000000,41048,41048,0.000000,399,4/10/2019,4,1,0.8,2,40,2,43044,0
79,87.0,wt040_021,0.815354,0.786369,0.240469,0.240474,0.52765,0.013884,0.138478,0.000044,22792,22793,0.000044,119,4/10/2019,4,1,0.8,5,40,4,27796,2594
80,90.0,wt040_021,1.027536,0.983088,0.458881,0.458887,0.5078239999999999,0.012756,0.320899,0.000044,22792,22793,0.000044,127,4/10/2019,4,1,0.8,7,40,4,27796,2614
81,92.0,wt040_021,1.1479469999999998,1.111591,0.580593,0.580595,0.513839,0.016503999999999998,0.44407,0.000000,22793,22793,0.000000,134,4/10/2019,4,1,0.8,6,40,4,27796,3528
82,93.0,wt040_021,1.099633,1.063298,0.515515,0.515519,0.520804,0.024616,0.385916,0.000000,22793,22793,0.000000,125,4/10/2019,4,1,0.8,8,40,4,27796,3408
83,94.0,wt040_021,2.307034,2.267789,1.674373,1.674379,0.555441,0.036735,0.988197,0.000000,41048,41048,0.000000,374,4/10/2019,4,1,0.8,7,40,2,43044,0
84,95.0,wt040_026,1.160824,0.871699,0.647493,0.647494,0.173781,0.050503,0.291987,0.060976,82,87,0.060976,132,4/10/2019,4,1,0.8,1,40,2,68770,37042
85,96.0,wt040_021,2.340798,2.2881150000000003,1.71143,1.711436,0.537321,0.033871,1.140011,0.000000,41048,41048,0.000000,324,4/10/2019,4,1,0.8,8,40,2,43044,6436
86,97.0,wt040_026,1.059858,0.754984,0.52083,0.520836,0.175244,0.058267999999999986,0.200282,0.060976,82,87,0.060976,127,4/10/2019,4,1,0.8,3,40,2,68770,37042
87,98.0,wt040_026,0.419928,0.3838,0.082191,0.082195,0.279045,0.022413,0.035252,0.000000,88,88,0.000000,58,4/10/2019,4,1,0.8,1,40,4,34326,0
88,99.0,wt040_021,2.657467,2.612526,2.018864,2.0188740000000003,0.550171,0.04281,1.244136,0.000000,41048,41048,0.000000,428,4/10/2019,4,1,0.8,5,40,2,43044,0
89,100.0,wt040_021,1.3849870000000002,1.316843,0.712086,0.712093,0.51893,0.0,0.5908439999999999,0.000000,22793,22793,0.000000,110,4/10/2019,4,1,0.8,10,40,4,369418,20250
90,101.0,wt040_026,0.418005,0.385619,0.06561900000000001,0.065625,0.293887,0.025533,0.023021,0.000000,88,88,0.000000,56,4/10/2019,4,1,0.8,3,40,4,34326,0
91,102.0,wt040_026,0.4443760000000001,0.428218,0.103291,0.103299,0.28944000000000003,0.03447,0.05448,0.000000,88,88,0.000000,62,4/10/2019,4,1,0.8,4,40,4,34326,0
92,103.0,wt040_026,1.252277,0.879342,0.6567810000000001,0.656783,0.179097,0.042773,0.320745,0.060976,82,87,0.060976,124,4/10/2019,4,1,0.8,4,40,2,68770,37970
93,104.0,wt040_026,1.346885,1.01751,0.7814180000000001,0.781423,0.180643,0.051516999999999986,0.481991,0.060976,82,87,0.060976,117,4/10/2019,4,1,0.8,2,40,2,68770,37896
94,105.0,wt040_026,0.517364,0.464768,0.159777,0.15978399999999998,0.294102,0.009707,0.095774,0.000000,88,88,0.000000,61,4/10/2019,4,1,0.8,2,40,4,34326,0
95,106.0,wt040_026,1.186234,1.1574,0.9002,0.900207,0.181335,0.07477,0.672054,0.060976,82,87,0.060976,127,4/10/2019,4,1,0.8,7,40,2,68770,38112
96,107.0,wt040_026,1.214997,1.174187,0.918569,0.918574,0.182282,0.07233400000000001,0.726477,0.060976,82,87,0.060976,124,4/10/2019,4,1,0.8,8,40,2,68770,38058
97,108.0,wt040_026,1.430502,1.402024,1.145818,1.145825,0.183231,0.06894700000000001,0.902465,0.060976,82,87,0.060976,125,4/10/2019,4,1,0.8,5,40,2,68770,38112
98,110.0,wt040_021,3.058404,2.993693,2.4224080000000003,2.422415,0.538875,0.027328,1.708649,0.000000,41048,41048,0.000000,393,4/10/2019,4,1,0.8,6,40,2,43044,6462
99,111.0,wt040_026,0.669367,0.637079,0.301666,0.301675,0.29136,0.040637,0.226789,0.000000,88,88,0.000000,61,4/10/2019,4,1,0.8,5,40,4,34326,0
100,112.0,wt040_026,0.555203,0.513899,0.206295,0.206298,0.270492,0.037126,0.1236,0.000000,88,88,0.000000,62,4/10/2019,4,1,0.8,8,40,4,34326,15308
101,113.0,wt040_026,1.622225,1.597501,1.342763,1.34277,0.181054,0.069551,1.118411,0.060976,82,87,0.060976,123,4/10/2019,4,1,0.8,6,40,2,68770,38058
102,114.0,wt040_026,0.5979270000000001,0.569779,0.227941,0.227948,0.294824,0.045134,0.16048800000000002,0.000000,88,88,0.000000,56,4/10/2019,4,1,0.8,7,40,4,34326,0
103,115.0,wt040_026,0.724118,0.687191,0.361961,0.361968,0.285984,0.036093,0.273334,0.000000,88,88,0.000000,59,4/10/2019,4,1,0.8,6,40,4,34326,15308
104,116.0,wt040_026,0.971992,0.935626,0.578311,0.578317,0.292586,0.0,0.501758,0.000000,88,88,0.000000,58,4/10/2019,4,1,0.8,10,40,4,418873,23022
105,117.0,wt040_016,5.1426120000000015,5.0476730000000005,4.375717,4.375727,0.5197470000000001,0.0,3.778739,0.002038,38278,38356,0.002038,322,4/10/2019,4,1,0.8,10,40,2,803638,60013
106,119.0,wt040_031,0.789934,0.698511,0.187018,0.187025,0.493647,0.017315,0.058993,0.014853,2491,2528,0.014853,98,4/10/2019,4,1,0.8,1,40,4,36434,8721
107,120.0,wt040_031,0.8386040000000001,0.757143,0.204759,0.204764,0.506413,0.040663,0.064671,0.014853,2491,2528,0.014853,98,4/10/2019,4,1,0.8,3,40,4,36434,8721
108,121.0,wt040_031,0.820032,0.749725,0.220029,0.220034,0.49253,0.036492,0.085312,0.012821,2496,2528,0.012821,93,4/10/2019,4,1,0.8,4,40,4,36434,8938
109,122.0,wt040_031,0.906339,0.8537049999999999,0.295457,0.295468,0.5069670000000001,0.045032,0.161923,0.012821,2496,2528,0.012821,89,4/10/2019,4,1,0.8,2,40,4,36434,8912
110,123.0,wt040_031,0.944294,0.903736,0.349017,0.349025,0.507023,0.04265,0.217539,0.014853,2491,2528,0.014853,98,4/10/2019,4,1,0.8,5,40,4,36434,9792
111,124.0,wt040_031,0.945963,0.885631,0.364495,0.364504,0.48361,0.031188,0.245544,0.012821,2496,2528,0.012821,89,4/10/2019,4,1,0.8,6,40,4,36434,9680
112,125.0,wt040_026,2.364163,2.276275,1.895321,1.895329,0.185245,0.0,1.721956,0.060976,82,87,0.060976,121,4/10/2019,4,1,0.8,10,40,2,831836,335331
113,127.0,wt040_031,1.653039,1.5603209999999998,1.052251,1.052323,0.4505560000000001,0.053281,0.543309,0.014369,3758,3812,0.014369,255,4/10/2019,4,1,0.8,3,40,2,70274,22173
114,128.0,wt040_031,1.804227,1.65895,1.165736,1.165742,0.440288,0.048359,0.705112,0.014369,3758,3812,0.014369,236,4/10/2019,4,1,0.8,4,40,2,70274,23846
115,129.0,wt040_031,1.886092,1.7496040000000002,1.258447,1.258452,0.449037,0.040452,0.8228,0.014369,3758,3812,0.014369,255,4/10/2019,4,1,0.8,1,40,2,70274,20212
116,130.0,wt040_031,1.881953,1.716941,1.228554,1.228558,0.44218,0.045932,0.792063,0.014369,3758,3812,0.014369,236,4/10/2019,4,1,0.8,2,40,2,70274,21142
117,131.0,wt040_031,0.929065,0.896534,0.339371,0.339379,0.512616,0.039925,0.211152,0.014853,2491,2528,0.014853,98,4/10/2019,4,1,0.8,7,40,4,36434,9792
118,132.0,wt040_031,0.985897,0.933588,0.381047,0.381055,0.515378,0.034908,0.262069,0.012821,2496,2528,0.012821,93,4/10/2019,4,1,0.8,8,40,4,36434,9664
119,133.0,wt040_031,1.925637,1.888646,1.3658370000000002,1.36584,0.452991,0.07,0.982332,0.014369,3758,3812,0.014369,255,4/10/2019,4,1,0.8,7,40,2,70274,23910
120,134.0,wt040_031,2.312435,2.259298,1.701593,1.701596,0.4535810000000001,0.103853,1.356855,0.014369,3758,3812,0.014369,236,4/10/2019,4,1,0.8,8,40,2,70274,24624
121,135.0,wt040_031,1.565623,1.509252,0.958364,0.958371,0.492911,0.0,0.813114,0.012821,2496,2528,0.012821,97,4/10/2019,4,1,0.8,10,40,4,448037,70863
122,136.0,wt040_031,2.709042,2.648032,2.143091,2.143097,0.440646,0.063818,1.721956,0.014369,3758,3812,0.014369,240,4/10/2019,4,1,0.8,6,40,2,70274,23826
123,137.0,wt040_036,1.086673,1.030259,0.269746,0.269752,0.7276130000000001,0.026679,0.115378,0.012122,6352,6429,0.012122,119,4/10/2019,4,1,0.8,1,40,4,35704,8388
124,138.0,wt040_021,5.463641,5.323625,4.664874,4.66488,0.541617,0.0,3.910431,0.000000,41048,41048,0.000000,378,4/10/2019,4,1,0.8,10,40,2,719985,37757
125,139.0,wt040_036,1.041533,0.98455,0.226292,0.2263,0.729358,0.027144,0.07768,0.012122,6352,6429,0.012122,125,4/10/2019,4,1,0.8,3,40,4,35704,8152
126,140.0,wt040_036,1.220452,1.152122,0.387087,0.387094,0.731278,0.031425,0.234134,0.011644,6355,6429,0.011644,118,4/10/2019,4,1,0.8,2,40,4,35704,8426
127,141.0,wt040_036,1.136098,1.062856,0.304229,0.304237,0.7243970000000001,0.028104,0.156323,0.011644,6355,6429,0.011644,122,4/10/2019,4,1,0.8,4,40,4,35704,8512
128,142.0,wt040_036,1.839847,1.7350740000000002,0.746105,0.746111,0.94516,0.042218,0.317,0.004783,10662,10713,0.004783,270,4/10/2019,4,1,0.8,3,40,2,63816,9932
129,144.0,wt040_036,1.957355,1.864942,0.904863,0.904866,0.938411,0.021887,0.471119,0.004783,10662,10713,0.004783,287,4/10/2019,4,1,0.8,1,40,2,63816,10022
130,145.0,wt040_036,1.951266,1.850826,0.895855,0.895859,0.917262,0.037838,0.440877,0.004783,10662,10713,0.004783,277,4/10/2019,4,1,0.8,4,40,2,63816,10734
131,146.0,wt040_036,1.226674,1.166343,0.422743,0.422749,0.714544,0.02763,0.28620300000000004,0.012122,6352,6429,0.012122,119,4/10/2019,4,1,0.8,5,40,4,35704,9454
132,147.0,wt040_031,3.771247,3.686249,3.167322,3.167329,0.433327,0.08415,2.665017,0.014369,3758,3812,0.014369,287,4/10/2019,4,1,0.8,5,40,2,70274,23886
133,148.0,wt040_036,1.04689,1.022714,0.255237,0.255244,0.729146,0.033493,0.145779,0.012122,6352,6429,0.012122,125,4/10/2019,4,1,0.8,7,40,4,35704,9234
134,150.0,wt040_036,2.6619080000000004,2.557401,1.58353,1.583537,0.935668,0.033289,1.086018,0.004783,10662,10713,0.004783,272,4/10/2019,4,1,0.8,2,40,2,63816,10930
135,151.0,wt040_036,2.425842,2.364878,1.402887,1.402893,0.916583,0.044179,0.971258,0.004783,10662,10713,0.004783,270,4/10/2019,4,1,0.8,7,40,2,63816,12760
136,152.0,wt040_036,1.452557,1.384357,0.607087,0.607103,0.7336239999999999,0.033326,0.456549,0.011644,6355,6429,0.011644,118,4/10/2019,4,1,0.8,6,40,4,35704,9238
137,153.0,wt040_036,1.58505,1.536953,0.789714,0.78972,0.718873,0.024096,0.593258,0.011644,6355,6429,0.011644,122,4/10/2019,4,1,0.8,8,40,4,35704,9234
138,154.0,wt040_036,3.2679560000000003,3.20303,2.169552,2.169565,0.970757,0.060914,1.6780529999999998,0.004783,10662,10713,0.004783,287,4/10/2019,4,1,0.8,5,40,2,63816,12644
139,155.0,wt040_036,3.100342,2.99922,2.018055,2.018061,0.935349,0.045289,1.548677,0.004783,10662,10713,0.004783,277,4/10/2019,4,1,0.8,8,40,2,63816,12700
140,156.0,wt040_036,3.302834,3.262122,2.2784720000000003,2.278482,0.924394,0.05779,1.817683,0.004783,10662,10713,0.004783,272,4/10/2019,4,1,0.8,6,40,2,63816,12890
141,157.0,wt040_036,1.928961,1.872744,1.111163,1.111171,0.706535,0.0,0.959619,0.011644,6355,6429,0.011644,124,4/10/2019,4,1,0.8,10,40,4,400946,40506
142,158.0,wt040_041,1.144962,1.057754,0.453016,0.453022,0.56696,0.032787000000000004,0.211608,0.003629,17634,17698,0.003629,215,4/10/2019,4,1,0.8,1,40,4,34842,7858
143,159.0,wt040_041,0.906869,0.8583959999999999,0.271364,0.271367,0.5554720000000001,0.030796,0.05831,0.003629,17634,17698,0.003629,220,4/10/2019,4,1,0.8,3,40,4,34842,7924
144,160.0,wt040_031,4.962021,4.889482,4.341525,4.341533,0.439764,0.0,3.780698,0.014369,3758,3812,0.014369,240,4/10/2019,4,1,0.8,10,40,2,896303,172938
