NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status,mip_nb_iter_simplex,mip_nb_nodes
wt040_036,40,4,40.64084236099734,40.437051999999994,13.386348000000002,7.3283369999999906,0.5310089999999974,26.955514999999998,0.091215000000001822,2.0506050000001181,0.89902799999998351,0,6420,6420,0.010228166796187542,6420,6355,2965,146,15,21/05/20,5000,1,0.80000000000000004,4,18607,3903,0,0,0,0,0,110,0,0,
wt040_041,40,4,18.17728798200551,18.022946999999998,1.873742,1.496296000000001,0.74160600000000088,16.055978,0.089263000000002535,0.47594200000002118,0.079965999999995319,0,17685,17685,0.0029490160492854863,17685,17633,577,211,3,21/05/20,5000,1,0.80000000000000004,4,18174,3856,0,0,0,0,0,110,0,0,
wt040_046,40,4,14.734987220988842,14.654098000000001,1.042190999999999,1.0365320000000011,1.0365359999999999,13.523486,0.084379000000000204,0.37254800000004629,0.01296999999999926,2.4476293487565117,5547,19124,-0.99964792224507126,19124,54317547,378,378,0,21/05/20,5000,1,0.80000000000000004,4,13050,0,0,0,0,0,0,110,0,0,
wt040_051,40,4,0.15158739199978299,0.11479900000000001,0.025663000000000005,0.020569999999999991,0.020571999999999993,0.0014980000000000028,0.083609000000000003,0.020438000000000012,0.015401999999999999,0,0,0,-0.99999999974999998,0,4000,2,2,0,21/05/20,5000,1,0.80000000000000004,4,18529,0,0,0,0,0,0,110,0,0,
wt040_056,40,4,33.763316671000211,33.528609000000003,15.751559999999998,7.6905660000000147,0.42325699999999955,17.6967,0.076972999999998848,3.7841180000000456,2.1237530000000042,0,826,826,0.035087719254276041,826,798,2196,183,8,21/05/20,5000,1,0.80000000000000004,4,17262,7458,0,0,0,0,0,110,0,0,
wt040_061,40,4,24.426557768994826,24.251269999999998,9.6256459999999997,5.6264380000000216,0.85072000000000081,14.560801000000001,0.061376000000000985,1.7151219999999512,0.76946900000002216,0,7357,7357,0.005741626793473462,7357,7315,4023,228,10,21/05/20,5000,1,0.80000000000000004,4,18932,3043,0,0,0,0,0,110,0,0,
wt040_066,40,4,11.606047550987569,11.563398999999999,0.90891100000000158,0.86624800000000057,0.83071699999999993,10.577024999999999,0.074038999999999078,0.3627819999999975,0.031583999999998724,0,20251,20251,0.00019756013235553118,20251,20247,341,312,1,21/05/20,5000,1,0.80000000000000004,4,19270,858,0,0,0,0,0,110,0,0,
wt040_071,40,4,15.118043384994962,15.001427,1.1111730000000009,1.1009200000000003,1.1009240000000009,13.783254000000001,0.10279199999999911,0.33837799999999696,0.020552000000000348,3.9299410022253056,5424,26740,-0.99968642047256129,26740,85273424,265,265,0,21/05/20,5000,1,0.80000000000000004,4,16927,0,0,0,0,0,0,110,0,0,
wt040_076,40,4,0.14722869500110392,0.103366,0.028240000000000001,0.023211000000000009,0.023213000000000011,0.0010330000000000027,0.070155999999999996,0.023096000000000005,0.018172999999999995,0,0,0,-0.99999999974999998,0,4000,2,2,0,21/05/20,5000,1,0.80000000000000004,4,17050,0,0,0,0,0,0,110,0,0,
wt040_081,40,4,25.450554241004284,25.295717,1.7091410000000025,1.2547700000000042,0.69164799999999715,23.511409,0.071135000000001725,0.39599300000000426,0.081835999999995579,0,564,564,0.044444444362139915,564,540,472,200,4,21/05/20,5000,1,0.80000000000000004,4,18484,3127,0,0,0,0,0,110,0,0,
wt040_086,40,4,24.890221342997393,24.783011999999999,0.79251900000000219,0.68174500000000293,0.59225500000000153,23.882154,0.10414600000000007,0.29141799999999307,0.034043999999997965,0,4725,4725,0.001271455816640929,4725,4719,240,177,2,21/05/20,5000,1,0.80000000000000004,4,18851,633,0,0,0,0,0,110,0,0,
wt040_091,40,4,24.409096588002285,24.218420000000002,5.6324749999999995,3.637135999999991,0.92408899999999861,18.482399999999998,0.099462000000002604,1.0063870000000747,0.31531700000000029,0,15569,15569,0.0008999164362730657,15571,15557,1894,249,6,21/05/20,5000,1,0.80000000000000004,4,19342,1244,0,0,0,0,0,110,0,0,
wt040_096,40,4,13.884243697000784,13.797896,0.86752600000000157,0.85814900000000094,0.85815099999999944,12.829065,0.097490999999999772,0.37154400000000187,0.020690999999999349,4.0650837983149319,7160,36266,-0.99968853050916062,36266,116435160,264,264,0,21/05/20,5000,1,0.80000000000000004,4,18399,0,0,0,0,0,0,110,0,0,
wt040_101,40,4,0.22138488800555933,0.20347400000000002,0.11401599999999999,0.10861799999999999,0.10861999999999999,0.00089200000000000043,0.084287000000000001,0.069538000000000003,0.020926,0,0,0,-0.99999999974999998,0,4000,39,39,0,21/05/20,5000,1,0.80000000000000004,4,19349,0,0,0,0,0,0,110,0,0,
wt040_106,40,4,0.15701946499757469,0.14794599999999999,0.032173000000000007,0.026014000000000009,0.026017000000000012,0.0014389999999999993,0.11031700000000001,0.025834999999999969,0.019396999999999998,0,0,0,-0.99999999974999998,0,4000,2,2,0,21/05/20,5000,1,0.80000000000000004,4,21400,0,0,0,0,0,0,110,0,0,
wt040_111,40,4,55.194364260998555,54.879370999999999,14.051766000000001,8.1756549999999777,0.71858300000000241,40.730176,0.096089999999996678,2.2785539999995876,0.81619999999993809,0,11263,11263,0.0045486978233545573,11263,11212,3817,208,15,21/05/20,5000,1,0.80000000000000004,4,22102,3206,0,0,0,0,0,110,0,0,
wt040_116,40,4,37.616998062003404,37.247509000000001,16.835677,9.5670109999999688,0.76504999999999868,20.334714999999999,0.073152000000000328,2.5351689999999785,0.96436300000002007,0,15566,15566,0.0017375635496661584,15566,15539,4751,206,9,21/05/20,5000,1,0.80000000000000004,4,19551,2170,0,0,0,0,0,110,0,0,
wt040_121,40,4,35.914171166994493,35.572274,19.493160000000003,10.886619999999986,1.1692460000000011,15.963980000000001,0.11475799999999836,2.7080540000000433,1.1281940000000077,0,35751,35751,0.0003357676487776444,35751,35739,5890,296,16,21/05/20,5000,1,0.80000000000000004,4,19852,1878,0,0,0,0,0,110,0,0,
wt050_001,50,2,458.6820447200007,455.83209299999999,447.07467799999995,203.17278900000005,1.0438559999999999,8.5791530000000016,0.17233200000000082,126.40781100000569,54.190230999999841,0,1268,1268,0.029220779197061054,1268,1232,39255,249,43,21/05/20,5000,1,0.80000000000000004,4,43076,27198,0,0,0,0,0,110,0,0,
wt050_006,50,2,41.728646236006171,41.444389000000001,25.536241000000004,15.902688000000001,1.9701790000000017,15.725684999999999,0.17830000000000013,8.8439999999997401,3.91934100000001,0,14272,14272,0.00077133440847266426,14272,14261,4123,439,8,21/05/20,5000,1,0.80000000000000004,4,47825,13292,0,0,0,0,0,110,0,0,
wt050_011,50,2,47.963059540008544,47.676152999999999,24.276701000000003,15.434543000000019,2.4178189999999979,23.187131999999998,0.20549799999999863,5.4891620000000962,1.6501059999999654,0,23028,23028,0.0012173913042948961,23028,23000,4162,452,2,21/05/20,5000,1,0.80000000000000004,4,43454,8797,0,0,0,0,0,110,0,0,
wt050_016,50,2,1221.9111216649908,1211.6166870000002,1196.9618489999998,695.18724300000099,1.8399629999999991,14.497158000000001,0.15494200000000014,149.39002099999016,42.079679000002841,0,46072,46072,0.0013257699245544376,46072,46011,262774,463,202,21/05/20,5000,1,0.80000000000000004,4,38272,6828,0,0,0,0,0,110,0,0,
wt050_021,50,2,28.599695238997811,28.348101999999997,12.75525,8.5723949999999949,3.8384360000000015,15.374984999999999,0.21487500000000104,2.4644369999999718,0.18149299999999258,0,111069,111069,1.8007148837926595e-05,111069,111067,3813,733,7,21/05/20,5000,1,0.80000000000000004,4,36837,2163,0,0,0,0,0,110,0,0,
wt050_026,50,2,13.602849111994146,13.542755999999999,1.1450680000000002,1.1347570000000005,1.1347620000000003,12.140444,0.25079999999999991,0.71069500000000119,0.049262999999999835,26000000,0,26,-0.9998074074000014,26,135000,226,226,0,21/05/20,5000,1,0.80000000000000004,4,42722,0,0,0,0,0,0,110,0,0,
wt050_031,50,2,579.25831236099475,575.67384500000003,560.51796300000001,311.11145699999832,2.0922990000000006,14.962697,0.18716200000000072,159.8462709999958,85.076921999999527,0,5378,5378,0.016827377572919761,5378,5289,53559,431,90,21/05/20,5000,1,0.80000000000000004,4,50634,20217,0,0,0,0,0,110,0,0,
wt050_036,50,2,211.05516899299982,209.249841,181.51673600000001,108.429451,3.0610250000000008,27.479154000000001,0.24653299999999945,37.549209000002129,15.191193000000084,0,18956,18956,0.0034407919113101058,18956,18891,27677,437,36,21/05/20,5000,1,0.80000000000000004,4,52878,9320,0,0,0,0,0,110,0,0,
wt050_041,50,2,250.1554550610017,248.410223,223.60771600000001,118.53591200000014,4.7745350000000002,24.513839000000001,0.28548200000000179,34.526300000001143,12.218207999999851,0,38058,38058,0.0027930016862670478,38058,37952,31465,670,18,21/05/20,5000,1,0.80000000000000004,4,50054,8741,0,0,0,0,0,110,0,0,
wt050_046,50,2,258.96223883099447,257.20486699999998,238.20253199999999,145.89263200000005,3.9948729999999983,18.763908999999998,0.23257800000000017,27.894056000004031,7.2131020000001804,0,82105,82105,0.00025583548559700021,82105,82084,48904,624,15,21/05/20,5000,1,0.80000000000000004,4,41180,4739,0,0,0,0,0,110,0,0,
wt050_051,50,2,0.35402294401137624,0.32888699999999998,0.066794999999999993,0.05686800000000003,0.056869999999999976,0.00090200000000000002,0.25502900000000001,0.056713000000000013,0.046499999999999986,0,0,0,-0.99999999979999998,0,5000,2,2,0,21/05/20,5000,1,0.80000000000000004,4,45580,0,0,0,0,0,0,110,0,0,
wt050_056,50,2,37.08488762100751,36.763211999999996,25.013907999999997,13.450923999999985,0.99848900000000107,11.580580000000001,0.1659790000000001,7.2771859999999844,2.3245749999999923,0,761,761,0.042465753366485268,761,730,3026,251,11,21/05/20,5000,1,0.80000000000000004,4,48655,48655,0,0,0,0,0,110,0,0,
wt050_061,50,2,88.229366365994792,87.682427000000004,50.528105999999994,31.199117000000044,3.8372279999999961,36.868230999999994,0.28271099999999905,12.015602999999409,4.3224029999999587,0,13682,13682,0.0073626859072770806,13682,13582,5991,503,11,21/05/20,5000,1,0.80000000000000004,4,60495,13705,0,0,0,0,0,110,0,0,
wt050_066,50,2,29.910340741000255,29.813147999999998,5.6650020000000012,5.6479190000000017,5.6479210000000002,23.953374,0.1917490000000015,1.6021229999999953,0.054802999999999713,14.286621818278542,2676,40907,-0.010545920711836443,40907,41343,794,794,0,21/05/20,5000,1,0.80000000000000004,4,42415,1323,0,0,0,0,0,110,0,0,
wt050_071,50,2,24.056392259008135,23.895021999999997,3.6446450000000006,3.6340400000000024,3.6340419999999973,20.004668000000002,0.23956499999999892,1.8286790000000259,0.042829000000001116,10.346915184171808,6921,78532,-0.99978067786942815,78532,358066921,631,631,0,21/05/20,5000,1,0.80000000000000004,4,42291,0,0,0,0,0,0,110,0,0,
wt050_076,50,2,0.31271897799160797,0.27482899999999999,0.056232000000000004,0.048256000000000021,0.048256999999999994,0.00046699999999999867,0.215674,0.048134999999999983,0.036232000000000014,0,0,0,-0.99999999979999998,0,5000,2,2,0,21/05/20,5000,1,0.80000000000000004,4,57822,0,0,0,0,0,0,110,0,0,
wt050_081,50,2,23.990813413998694,23.848567000000003,3.3699159999999999,2.6822830000000053,2.0403609999999972,20.251511000000001,0.22077000000000169,1.5107610000000378,0.10479499999999931,0,542,542,0.007434944224098617,542,538,456,397,1,21/05/20,5000,1,0.80000000000000004,4,60782,60782,0,0,0,0,0,110,0,0,
wt050_086,50,2,1254.4286382760038,1245.954694,1211.6679920000001,682.96154699999704,5.4170320000000061,34.028061000000001,0.25301299999999571,169.89684999997246,69.586207000001252,0,12557,12557,0.023640661936607101,12557,12267,243264,523,290,21/05/20,5000,1,0.80000000000000004,4,56774,15713,0,0,0,0,0,110,0,0,
wt050_091,50,2,208.61896048400376,206.48083199999999,182.882711,107.8455640000001,3.0633370000000006,23.370291000000002,0.22457399999999694,26.459709999998129,9.1202729999995604,0,47349,47349,0.0011841075846069375,47349,47293,34977,574,25,21/05/20,5000,1,0.80000000000000004,4,58096,7570,0,0,0,0,0,110,0,0,
wt050_096,50,2,52.016408896000939,51.326822,28.211853999999999,20.060728999999998,3.704066000000001,22.802613000000001,0.3061000000000007,4.4770440000000775,0.8462179999999897,0,92822,92822,0.00022629066496884421,92822,92801,6757,573,8,21/05/20,5000,1,0.80000000000000004,4,50619,4160,0,0,0,0,0,110,0,0,
wt050_101,50,2,0.28658682500827126,0.262237,0.053817000000000004,0.04627199999999998,0.04627400000000001,0.00088000000000000057,0.20291600000000001,0.046082999999999985,0.035708999999999963,0,0,0,-0.99999999979999998,0,5000,2,2,0,21/05/20,5000,1,0.80000000000000004,4,51299,0,0,0,0,0,0,110,0,0,
wt050_106,50,2,0.76255842599493917,0.72955099999999995,0.49242299999999994,0.48257799999999995,0.48257999999999995,0.00093599999999999933,0.229961,0.38957299999999973,0.04853799999999997,0,0,0,-0.99999999979999998,0,5000,88,88,0,21/05/20,5000,1,0.80000000000000004,4,59079,0,0,0,0,0,0,110,0,0,
wt050_111,50,2,28.081723618000979,27.975552999999998,5.6440809999999999,5.2432390000000026,4.1767569999999985,22.041891,0.28353999999999857,2.4012090000000157,0.15755999999999304,0,15564,15564,0.0013510905229781192,15564,15543,1103,580,2,21/05/20,5000,1,0.80000000000000004,4,64306,4968,0,0,0,0,0,110,0,0,
wt050_116,50,2,5442.7902468060056,5399.5353860000005,5364.0345980000002,3169.1700050000127,3.9309490000000054,35.227148999999997,0.27036499999999819,713.70971399991208,300.71176400001224,0,19608,19608,0.0045081967210805225,19608,19520,1517111,500,1996,21/05/20,5000,1,0.80000000000000004,4,49744,8844,0,0,0,0,0,110,0,0,
wt050_121,50,2,23.130906445003347,22.963974,5.753188999999999,5.7477199999999975,5.7477219999999996,17.000717999999999,0.20445499999999939,3.1641640000000351,0.040821000000001106,7.9746018062904422,4646,41696,-0.99977493209718749,41696,185259646,920,920,0,21/05/20,5000,1,0.80000000000000004,4,49648,0,0,0,0,0,0,110,0,0,
wt050_001,50,4,73.662866854996537,72.992099999999994,56.900255000000001,27.364343000000027,0.48435300000000225,15.991252000000001,0.095477999999999952,15.992150999999971,8.7457340000000094,0,785,785,0.010296010282759317,785,777,6595,180,24,21/05/20,5000,1,0.80000000000000004,4,24669,12857,0,0,0,0,0,110,0,0,
wt050_006,50,4,627.14979221099929,621.19446900000003,590.86686799999995,324.58437400000105,1.3562219999999989,30.185255999999999,0.13640499999999989,133.03955099999939,76.962423999999572,0,8317,8317,0.0022897083631851401,8317,8298,76918,305,160,21/05/20,5000,1,0.80000000000000004,4,26973,7070,0,0,0,0,0,110,0,0,
wt050_011,50,4,25.735452572989743,25.599684999999997,2.7476309999999984,2.0225670000000093,0.90901099999999957,22.760522999999999,0.086635000000001128,0.80250699999998432,0.23117700000001307,0,12879,12879,0.000621552326888233,12879,12871,737,315,4,21/05/20,5000,1,0.80000000000000004,4,24599,3587,0,0,0,0,0,110,0,0,
wt050_016,50,4,20.118592658996931,20.016698000000002,1.7478690000000014,1.6017149999999987,1.3784530000000004,18.175011000000001,0.089646000000001891,0.52084299999997086,0.05627200000000343,0,25376,25376,3.9408866993520833e-05,25376,25375,513,318,2,21/05/20,5000,1,0.80000000000000004,4,23723,827,0,0,0,0,0,110,0,0,
wt050_021,50,4,21.951014926991775,21.822351000000001,2.6363939999999992,2.6285569999999971,2.6285610000000013,19.017955000000001,0.16148300000000049,1.1187519999999509,0.030618000000004031,4.0916566725979395,11674,59440,-0.99975113741796962,59440,238846674,564,564,0,21/05/20,5000,1,0.80000000000000004,4,26292,0,0,0,0,0,0,110,0,0,
wt050_026,50,4,20.171765558989136,20.076573,0.67434100000000186,0.66838799999999665,0.66838999999999871,19.276199999999999,0.11977600000000166,0.37412899999997506,0.026286000000002474,54000000,0,54,-0.99980363636000069,54,275000,211,211,0,21/05/20,5000,1,0.80000000000000004,4,23982,0,0,0,0,0,0,110,0,0,
wt050_031,50,4,23.524752984012594,23.425799999999999,0.89023999999999859,0.88495999999999952,0.88496299999999906,22.428985999999998,0.10164999999999935,0.51689500000001232,0.022517000000000564,3061000000,0,3061,-0.99980006531672105,3061,15310000,310,310,0,21/05/20,5000,1,0.80000000000000004,4,26835,0,0,0,0,0,0,110,0,0,
wt050_036,50,4,40.621931652000058,40.401109999999996,2.3745400000000032,2.0822460000000049,1.6935679999999991,37.864629999999998,0.15471199999999641,0.68133499999999003,0.060599999999986665,0,10796,10796,0.00018528812301414784,10796,10794,457,288,3,21/05/20,5000,1,0.80000000000000004,4,28996,1340,0,0,0,0,0,110,0,0,
