NameInstance,tot_real_time,tot_cputime,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,nb_generated_col,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,n,m,first_size_graph,size_after_reduced_cost,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status,mip_nb_iter_simplex,mip_nb_nodes
wt040_021,0.867187,0.798641,0.404903,0.404928,0.355834,0.035345,0.286687,0.009517,0.000000,22793,22793,0.000000,194,22/6/2020,3,1,0.800000,4,40,4,26379,1244,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_016,1.978452,1.919022,0.707774,0.707778,1.137044,0.000000,0.606904,0.050080,0.000559,21482,21494,0.000559,94,22/6/2020,3,1,0.800000,10,40,4,398064,26535,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_021,0.459935,0.448104,0.150923,0.150925,0.290864,0.000000,0.021607,0.000392,0.000044,22792,22793,0.000044,219,22/6/2020,3,1,0.800000,9,40,4,19312,859,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_021,1.390524,1.352637,0.843715,0.843718,0.499316,0.000000,0.116767,0.001129,0.000049,41046,41048,0.000049,478,22/6/2020,3,1,0.800000,9,40,2,36392,1986,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_026,0.259675,0.237752,0.079239,0.079241,0.151716,0.000000,0.045247,0.001139,0.060976,82,87,0.060976,115,22/6/2020,3,1,0.800000,9,40,2,42129,30314,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_016,3.951149,3.896408,3.247690,3.247695,0.523219,0.000000,2.776930,0.125205,0.002038,38278,38356,0.002038,304,22/6/2020,3,1,0.800000,10,40,2,795428,59520,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_021,2.662766,2.609078,1.982330,1.982359,0.567002,0.054021,1.307114,0.020956,0.000000,41048,41048,0.000000,459,22/6/2020,3,1,0.800000,4,40,2,40046,1562,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_026,0.934644,0.900550,0.673596,0.673624,0.149298,0.076380,0.548877,0.075030,0.060976,82,87,0.060976,113,22/6/2020,3,1,0.800000,4,40,2,58589,37047,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_026,0.308739,0.296476,0.035857,0.035860,0.252399,0.000000,0.012123,0.000665,0.000000,88,88,0.000000,61,22/6/2020,3,1,0.800000,9,40,4,22009,13292,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_021,1.570467,1.500599,1.024837,1.024841,0.437279,0.000000,0.865202,0.055524,0.000000,22793,22793,0.000000,168,22/6/2020,3,1,0.800000,10,40,4,361208,19840,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_026,0.605367,0.587542,0.277276,0.277321,0.259399,0.047302,0.214452,0.030121,0.000000,88,88,0.000000,63,22/6/2020,3,1,0.800000,4,40,4,32444,15710,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_026,0.973792,0.946505,0.683748,0.683751,0.223753,0.000000,0.581233,0.051488,0.000000,88,88,0.000000,76,22/6/2020,3,1,0.800000,10,40,4,410663,22612,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_031,0.725390,0.695811,0.244362,0.244365,0.449662,0.000000,0.087865,0.001679,0.016262,3751,3812,0.016262,212,22/6/2020,3,1,0.800000,9,40,2,45435,20568,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_026,1.906312,1.835693,1.550186,1.550190,0.147537,0.000000,1.389848,0.085591,0.060976,82,87,0.060976,113,22/6/2020,3,1,0.800000,10,40,2,823626,334921,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_021,4.118072,4.026798,3.615523,3.615527,0.349077,0.000000,3.033297,0.099163,0.000000,41048,41048,0.000000,375,22/6/2020,3,1,0.800000,10,40,2,711775,37347,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_031,1.032172,0.990079,0.084141,0.084144,0.892459,0.000000,0.022530,0.000905,0.016881,2488,2530,0.016881,94,22/6/2020,3,1,0.800000,9,40,4,23595,8577,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_031,1.397375,1.314880,0.369532,0.369588,0.890652,0.051699,0.288613,0.029343,0.013622,2496,2530,0.013622,86,22/6/2020,3,1,0.800000,4,40,4,36325,8635,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_031,2.381359,2.147479,1.611040,1.611078,0.439091,0.093620,1.266868,0.053562,0.014369,3758,3812,0.014369,244,22/6/2020,3,1,0.800000,4,40,2,67316,22228,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_031,1.848194,1.777683,0.700237,0.700241,1.002550,0.000000,0.598915,0.042675,0.013622,2496,2530,0.013622,82,22/6/2020,3,1,0.800000,10,40,4,439827,70737,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_036,1.336757,1.290775,0.475866,0.475868,0.807588,0.000000,0.101753,0.001489,0.005160,10658,10713,0.005160,321,22/6/2020,3,1,0.800000,9,40,2,40115,7395,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_036,1.016702,0.965268,0.096521,0.096524,0.860199,0.000000,0.021929,0.000777,0.013539,6352,6438,0.013539,140,22/6/2020,3,1,0.800000,9,40,4,21035,5383,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_036,2.627904,2.556696,1.756883,1.756917,0.693785,0.101734,1.348779,0.043962,0.004972,10660,10713,0.004972,293,22/6/2020,3,1,0.800000,4,40,2,62268,10048,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_036,1.803294,1.742290,0.605626,0.605673,1.066904,0.062327,0.488033,0.027283,0.013061,6355,6438,0.013061,129,22/6/2020,3,1,0.800000,4,40,4,36796,9189,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_031,3.989026,3.891438,3.213973,3.213976,0.514586,0.000000,2.846632,0.115941,0.014369,3758,3812,0.014369,231,22/6/2020,3,1,0.800000,10,40,2,888093,195545,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_036,2.054718,1.941362,0.706684,0.706688,1.159719,0.000000,0.605705,0.032785,0.013061,6355,6438,0.013061,121,22/6/2020,3,1,0.800000,10,40,4,392736,43037,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_041,1.900616,1.792634,0.537824,0.537872,1.175642,0.075683,0.421892,0.028729,0.004197,17633,17707,0.004197,126,22/6/2020,3,1,0.800000,4,40,4,35912,8817,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_041,1.042087,1.008519,0.105582,0.105586,0.892213,0.000000,0.022811,0.000810,0.004652,17625,17707,0.004652,122,22/6/2020,3,1,0.800000,9,40,4,21502,5356,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_041,2.177610,2.053134,1.256201,1.256204,0.793288,0.000000,0.175951,0.001710,0.000227,30798,30805,0.000227,529,22/6/2020,3,1,0.800000,9,40,2,41102,3409,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_036,4.821908,4.650262,3.630348,3.630353,0.859395,0.000000,3.136537,0.103081,0.004783,10662,10713,0.004783,288,22/6/2020,3,1,0.800000,10,40,2,784353,60959,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_041,4.296510,3.956855,3.076683,3.076713,0.801838,0.074600,2.135141,0.035457,0.000227,30798,30805,0.000227,449,22/6/2020,3,1,0.800000,4,40,2,60755,4311,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_046,2.182643,1.856378,1.373863,1.373866,0.474799,0.000000,0.160631,0.001201,0.000000,34146,34146,0.000000,626,22/6/2020,3,1,0.800000,9,40,2,29777,662,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_041,2.581756,2.245712,0.871015,0.871019,1.285265,0.000000,0.747861,0.040008,0.004140,17634,17707,0.004140,118,22/6/2020,3,1,0.800000,10,40,4,401289,43539,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_046,1.326838,1.241358,0.599303,0.599352,0.592619,0.042665,0.386479,0.015382,0.000052,19124,19125,0.000052,176,22/6/2020,3,1,0.800000,4,40,4,25807,996,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_046,1.007730,0.887796,0.274689,0.274692,0.600969,0.000000,0.030649,0.000615,0.000052,19124,19125,0.000052,207,22/6/2020,3,1,0.800000,9,40,4,16137,700,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_051,0.014049,0.012579,0.000000,0.000000,0.001074,0.000000,0.000000,0.000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0,0,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0,22/6/2020,3,1,0.800000,9,40,2,48853,0,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_046,3.310883,3.160618,2.640874,2.640963,0.444736,0.071218,1.600036,0.020468,0.000000,34146,34146,0.000000,564,22/6/2020,3,1,0.800000,4,40,2,34094,918,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_051,0.175417,0.115383,0.000000,0.000000,0.001038,0.110592,0.000000,0.000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0,0,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0,22/6/2020,3,1,0.800000,4,40,2,68527,0,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_051,0.171844,0.138268,0.000000,0.000000,0.132534,0.000000,0.000000,0.000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0,0,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0,22/6/2020,3,1,0.800000,9,40,4,25133,0,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_051,0.319207,0.189345,0.000000,0.000000,0.001066,0.000000,0.000000,0.000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0,0,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0,22/6/2020,3,1,0.800000,10,40,2,954703,0,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_051,0.293825,0.199117,0.000000,0.000000,0.130615,0.064416,0.000000,0.000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0,0,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0,22/6/2020,3,1,0.800000,4,40,4,36581,0,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_051,0.315185,0.229017,0.000000,0.000000,0.136811,0.000000,0.000000,0.000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0,0,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0,22/6/2020,3,1,0.800000,10,40,4,467850,0,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_046,1.863055,1.476020,0.949570,0.949575,0.475518,0.000000,0.755646,0.039687,0.000052,19124,19125,0.000052,161,22/6/2020,3,1,0.800000,10,40,4,302760,17375,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_056,0.588376,0.530362,0.179812,0.179816,0.340825,0.000000,0.062627,0.001458,0.005503,1272,1279,0.005503,190,22/6/2020,3,1,0.800000,9,40,2,38784,20385,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_041,6.820839,6.395497,5.657367,5.657371,0.585485,0.000000,4.722242,0.115926,0.000227,30798,30805,0.000227,436,22/6/2020,3,1,0.800000,10,40,2,803579,46036,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_056,0.652698,0.543538,0.058062,0.058066,0.475314,0.000000,0.015875,0.000719,0.038847,798,829,0.038847,77,22/6/2020,3,1,0.800000,9,40,4,20384,11236,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_056,1.052410,1.005345,0.396858,0.396914,0.542336,0.061331,0.308979,0.034997,0.038847,798,829,0.038847,77,22/6/2020,3,1,0.800000,4,40,4,34140,15945,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_056,2.141848,1.755520,1.290085,1.290123,0.358699,0.102295,1.033300,0.059176,0.005503,1272,1279,0.005503,198,22/6/2020,3,1,0.800000,4,40,2,62107,27546,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_056,1.198146,1.102188,0.490703,0.490707,0.530381,0.000000,0.424076,0.023843,0.038847,798,829,0.038847,76,22/6/2020,3,1,0.800000,10,40,4,380718,124053,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_061,1.374188,1.303068,0.394914,0.394918,0.896414,0.000000,0.082320,0.001395,0.018870,11288,11501,0.018870,314,22/6/2020,3,1,0.800000,9,40,2,39279,12984,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_056,3.082153,2.979511,2.493965,2.493968,0.332704,0.000000,2.203486,0.090239,0.005503,1272,1279,0.005503,190,22/6/2020,3,1,0.800000,10,40,2,758378,238780,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_046,6.844241,6.380726,5.795537,5.795542,0.482454,0.000000,4.776442,0.091827,0.000000,34146,34146,0.000000,531,22/6/2020,3,1,0.800000,10,40,2,582721,30558,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_061,1.774304,1.661654,0.684390,0.684436,0.936207,0.035528,0.539410,0.030949,0.006972,7315,7366,0.006972,140,22/6/2020,3,1,0.800000,4,40,4,37451,6546,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_061,1.318785,1.063309,0.101687,0.101691,0.956846,0.000000,0.019229,0.000509,0.008350,7305,7366,0.008350,145,22/6/2020,3,1,0.800000,9,40,4,20679,4226,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_061,3.248659,3.143826,2.087756,2.087802,0.942244,0.108614,1.653071,0.061495,0.017247,11306,11501,0.017247,295,22/6/2020,3,1,0.800000,4,40,2,68642,20509,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_066,1.677438,1.521059,0.577273,0.577277,0.935881,0.000000,0.107555,0.001614,0.005014,35103,35279,0.005014,332,22/6/2020,3,1,0.800000,9,40,2,41141,11195,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_061,2.550017,2.375454,1.073753,1.073757,1.223318,0.000000,0.902344,0.057381,0.006834,7316,7366,0.006834,137,22/6/2020,3,1,0.800000,10,40,4,386286,35135,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_066,2.378756,1.887443,0.658339,0.658390,1.151911,0.071770,0.524074,0.030742,0.000938,20247,20266,0.000938,132,22/6/2020,3,1,0.800000,4,40,4,38110,4454,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_066,3.559778,3.085136,2.082284,2.082323,0.853840,0.140870,1.602601,0.055519,0.004241,35130,35279,0.004241,296,22/6/2020,3,1,0.800000,4,40,2,67985,15566,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_066,1.621150,1.309234,0.131377,0.131381,1.169784,0.000000,0.026106,0.000827,0.000938,20247,20266,0.000938,139,22/6/2020,3,1,0.800000,9,40,4,21541,2557,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_061,5.613895,4.970772,3.823513,3.823518,1.017690,0.000000,3.329934,0.101805,0.017247,11306,11501,0.017247,309,22/6/2020,3,1,0.800000,10,40,2,768051,85518,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_066,2.728924,2.378974,1.059703,1.059707,1.245717,0.000000,0.893603,0.064503,0.000938,20247,20266,0.000938,131,22/6/2020,3,1,0.800000,10,40,4,402070,29961,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_071,1.504500,1.378767,0.825712,0.825716,0.540572,0.000000,0.128947,0.001483,0.000417,47932,47952,0.000417,459,22/6/2020,3,1,0.800000,9,40,2,35743,3498,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_071,1.495055,1.409431,0.785464,0.785509,0.560825,0.056835,0.597572,0.016642,0.000075,26740,26742,0.000075,215,22/6/2020,3,1,0.800000,4,40,4,33484,1388,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_076,0.137047,0.104921,0.000000,0.000000,0.001053,0.100407,0.000000,0.000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0,0,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0,22/6/2020,3,1,0.800000,4,40,2,61534,0,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_076,0.012974,0.012141,0.000000,0.000000,0.001056,0.000000,0.000000,0.000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0,0,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0,22/6/2020,3,1,0.800000,9,40,2,39584,0,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_071,0.931020,0.828111,0.251662,0.251664,0.563763,0.000000,0.036400,0.000825,0.000075,26740,26742,0.000075,234,22/6/2020,3,1,0.800000,9,40,4,18943,910,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_076,0.225204,0.145226,0.000000,0.000000,0.000895,0.000000,0.000000,0.000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0,0,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0,22/6/2020,3,1,0.800000,10,40,2,774019,0,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_076,0.088319,0.080606,0.000000,0.000000,0.001452,0.075004,0.000000,0.000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0,0,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000,0,22/6/2020,3,1,0.800000,4,40,4,33709,0,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
