n,m,NameInstance,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,total_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,first_size_graph,size_after_reduced_cost,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,strong_branching,branching_point,refinement,pruning_test,suboptimal_duals,scoring_parameter,scoring_value,use_cpu_time,use_bks,ijoc_review
100,2,wt100_016,1478.053425,1470.192251,1166.118909,295.589856,44.978413,302.695224,1.338326,295.207268,70.189778,0,209100,209100,0.000205686,209100,209057,16470,1414,8,350432,28800,21/07/2012,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,2,wt100_016,7332.939915,7332.93991,7331.48523,4005.04063,52.67805,0.09483,1.34251,3945.64809,88.16269,0.00020565,209093,209136,0.000841876,209233,209057,109130,1513,350432,56789,88,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_021,1700.290368,1700.29037,1698.42802,1068.71507,96.14258,0.08806,1.73864,1066.88516,1.97676,0,457836,457836,4.81E-05,457836,457814,34810,1678,297938,26089,15,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,2,wt100_021,1757.110405,1747.936209,1566.832698,355.041528,40.227462,180.082034,1.000209,354.774302,47.874804,0,457836,457836,4.81E-05,457836,457814,16402,1873,10,297938,24595,21/07/2012,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,2,wt100_021,7364.620805,7364.6208,7363.41272,4313.54863,51.82416,0.05853,1.13527,4307.4984,44.6263,2.84E-05,457827,457840,0.00013761,457877,457814,136115,1653,297938,40724,107,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_026,16.9191615,16.91916,15.48261,15.4322,15.4504,0.01642,1.40343,15.4102,0.94219,0,92,92,0,92,92,541,541,408390,0,0,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_026,20.73236488,20.73236,19.0969,19.02176,19.0414,0.01387,1.58357,18.99223,1.21684,0,92,92,0,92,92,533,533,408390,0,0,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,2,wt100_026,79.14885536,78.393051,12.076092,12.041679,12.041682,65.051171,1.230559,12.039955,1.553462,0,92,92,0,92,92,391,391,0,408390,0,21/07/2012,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,2,wt100_031,182.5556555,182.55565,181.1165,74.71552,20.70755,0.05869,1.36381,73.2567,6.20356,0,12729,12729,0.000314342,12729,12725,3259,700,408630,159750,8,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_031,252.5105951,249.594556,62.831553,39.579699,27.174687,185.096281,1.623953,39.461503,11.258664,0,12729,12729,0.000314342,12729,12725,940,724,1,408630,164434,21/07/2012,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,2,wt100_031,263.0809072,263.08091,261.3817,111.19134,34.80807,0.05231,1.62937,108.55771,28.24985,0,12729,12729,0.000314342,12729,12725,3304,756,408630,159418,8,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,2,wt100_036,2344.947435,2331.896388,2051.045884,707.859814,42.277516,279.256954,1.553388,704.720457,393.970674,0,56671,56671,0.001714569,56671,56574,15383,1056,17,411536,88234,21/07/2012,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,2,wt100_036,2838.759155,2838.75915,2836.03557,927.67764,52.27608,0.11519,2.58498,911.32268,46.48216,0,56671,56671,0.001714569,56671,56574,21652,957,411536,411536,19,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,2,wt100_036,7292.32611,7292.32611,7290.89027,1020.98522,34.14787,0.08277,1.33511,1005.72275,47.71517,0.00432931,56591,56836,0.004631103,56836,56574,60133,1108,411536,118435,203,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_041,3982.352381,3982.35238,3979.38201,2035.50251,81.1285,0.24929,2.69782,2028.80409,53.55178,0,237964,237964,0.000815915,237964,237770,76042,1414,457718,64625,46,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,2,wt100_041,7325.96021,7325.96021,7324.20896,2727.62819,52.24499,0.13322,1.6012,2718.89994,156.44206,0.001396061,237812,238144,0.002081844,238265,237770,88435,1396,457718,105092,72,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_041,7644.611924,7614.116158,7266.778031,1192.313377,51.446903,345.836641,1.461054,1190.413936,449.392605,0.000243794,237906,237964,0.000815915,237964,237770,40421,1395,24,457718,65140,21/07/2013,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,2,wt100_046,2725.018229,2725.01823,2723.31901,1488.27872,63.29355,0.08153,1.58087,1484.57539,28.55456,0,422831,422831,6.39E-05,422831,422804,63350,1121,339138,29715,39,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,2,wt100_046,5199.01772,5176.62684,5015.932331,952.627753,51.512664,159.246668,1.415166,951.504917,209.765021,0,422831,422831,6.39E-05,422831,422804,41848,1612,25,339138,28818,21/07/2013,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,2,wt100_046,6198.519109,6198.51911,6197.16725,3039.79086,46.17775,0.07787,1.25876,3032.93147,50.48483,0,422831,422831,0.000134814,422861,422804,132636,1416,339138,41462,89,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_051,1.552337832,1.416804,0.23066,0.196948,0.19695,0.003129,1.150787,0.196891,0.174829,0,0,0,0,0,0,1,1,0,397520,0,21/07/2012,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,2,wt100_051,1.690500261,1.6905,0.27466,0.22863,0.2473,0.00323,1.39752,0.22854,0.21232,0,0,0,0,0,0,1,1,397520,0,0,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_051,2.865874824,2.86587,0.59933,0.51125,0.54361,0.00494,2.23859,0.5111,0.47454,0,0,0,0,0,0,1,1,397520,0,0,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,2,wt100_056,204.4177902,204.41779,201.94025,123.14274,37.78637,0.05556,2.38106,120.65267,16.54571,0,5047,5047,0.012843668,5047,4983,3244,701,443922,207316,3,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,2,wt100_056,276.8214268,274.5075,131.074842,81.552893,21.637556,142.16786,1.228494,81.017975,33.705728,0,5047,5047,0.012843668,5047,4983,2309,683,4,443922,207894,21/07/2012,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,2,wt100_056,7295.512766,7295.51277,7294.06552,745.84883,20.39801,0.04546,1.38474,409.23838,91.07279,0.026126845,5014,5145,0.032510536,5145,4983,14489,698,443922,443922,94,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_061,7213.539045,7213.53905,7211.36237,2417.01999,63.57855,0.11454,2.01284,2398.08175,77.65495,0.002199107,45473,45573,0.003567418,45573,45411,99682,1132,425856,425856,152,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,2,wt100_061,7316.292438,7316.29244,7314.82787,2340.1521,34.83941,0.08757,1.34137,2313.02983,158.72216,0.031040176,45425,46835,0.031358041,46835,45411,58169,1109,425856,425856,74,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_061,7488.384417,7447.43361,7173.252382,1821.627475,28.425012,272.876356,1.265794,1813.544077,837.082959,0.002199107,45473,45573,0.003567418,45573,45411,56982,1033,34,425856,72363,21/07/2013,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,2,wt100_066,7211.196249,7211.19625,7208.5491,2149.98116,73.11905,0.1499,2.47342,2140.48603,27.62591,0.00065649,126430,126513,0.000854397,126513,126405,91549,1130,382082,52783,143,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,2,wt100_066,7290.046927,7290.04693,7288.76847,3003.31854,35.01113,0.08286,1.17909,2989.32818,158.05888,0.003306439,126420,126838,0.004857403,127019,126405,79478,1165,382082,127857,97,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_066,7612.437772,7576.092082,7244.153527,1433.77175,36.446775,330.459717,1.43695,1429.621806,469.780609,0.00065649,126430,126513,0.00087813,126516,126405,71940,1126,45,382082,53117,21/07/2013,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,2,wt100_071,125.9237256,125.92373,124.24332,78.67748,54.67593,0.09082,1.54791,78.54588,0.63095,0,327305,327305,1.53E-05,327305,327300,2838,1463,373954,10438,2,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,2,wt100_071,481.3806737,478.833364,219.995848,85.74923,68.58865,257.150394,1.649215,85.72087,12.819213,0,327305,327305,1.53E-05,327305,327300,2650,1905,2,373954,8107,21/07/2012,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,2,wt100_071,7348.237228,7348.23723,7346.78801,3537.27884,49.41989,0.06558,1.36782,3530.92686,84.55386,0.000281085,327303,327395,0.000296364,327397,327300,103919,1309,373954,55838,100,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_076,1.605156238,1.412069,0.235676,0.20648,0.206482,0.002528,1.143431,0.206432,0.18417,0,0,0,0,0,0,1,1,0,411188,0,21/07/2012,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,2,wt100_076,1.609905271,1.6099,0.29634,0.25039,0.2686,0.00314,1.29617,0.25028,0.23217,0,0,0,0,0,0,1,1,411188,0,0,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_076,2.060696871,2.0607,0.47028,0.40052,0.42125,0.00355,1.54817,0.40032,0.37217,0,0,0,0,0,0,1,1,411188,0,0,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,2,wt100_081,212.3764352,212.37643,209.91199,170.50093,62.0201,0.05141,2.38637,168.95202,5.31057,0,908,908,0.147914033,908,791,4759,1162,438794,168201,5,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,2,wt100_081,456.8721919,454.798306,209.33786,158.413831,72.398332,243.766023,1.658713,157.548738,38.698106,0,908,908,0.147914033,908,791,3935,1523,5,438794,164864,21/07/2012,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,2,wt100_081,7309.647027,7309.64703,7308.21048,736.54465,41.10369,0.08243,1.33645,711.4276,39.45961,0.102803738,856,944,0.193426043,944,791,26585,1222,438794,176382,106,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_086,7207.275778,7207.27578,7205.37405,3263.5452,44.27911,0.17015,1.67643,3242.15601,118.35354,0.027479356,36209,37204,0.027564492,37204,36206,190036,1297,492908,213671,0,3/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_086,7226.154929,7226.15493,7223.27969,2438.12244,71.72054,0.13959,2.71054,2426.912,86.10484,0.010078418,36216,36581,0.010357399,36581,36206,96186,1289,492908,112549,123,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,2,wt100_086,7612.951301,7525.434983,7116.185658,1882.912625,65.715926,407.416494,1.792246,1864.686581,823.018986,0.01317352,36209,36686,0.013257471,36686,36206,163328,1360,297,492908,131104,21/07/2013,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,2,wt100_091,7233.498577,7233.49858,7230.64433,2375.05203,44.637,0.09136,2.72134,2366.25948,75.29995,0.002360692,129623,129929,0.002631416,129929,129588,93080,1170,422302,84633,126,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,2,wt100_091,7315.035339,7315.03534,7312.55021,2610.89687,43.76526,0.11727,2.33076,2602.67827,45.07848,0.003972355,129646,130161,0.004421706,130161,129588,75487,1259,422302,111144,119,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_091,7679.101451,7647.461253,7174.217655,1350.647245,54.486645,471.328695,1.877913,1347.235391,495.638815,0.000978413,129802,129929,0.002631416,129929,129588,52557,1259,24,422302,84290,21/07/2013,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,2,wt100_096,7219.753846,7219.75385,7217.58944,3372.17527,60.40959,0.12272,2.00004,3362.18056,66.91788,0.000110164,254166,254194,0.000212481,254194,254140,142346,1384,367624,35860,126,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,2,wt100_096,7314.744468,7314.74447,7312.49709,2008.39152,48.25547,0.09932,2.12059,2001.89137,60.87036,0.000503649,254145,254273,0.000523334,254273,254140,86382,1395,367624,367624,131,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_096,7693.829442,7676.403055,7326.704202,869.806465,46.166235,348.495666,1.175573,868.167059,220.452995,0.000192803,254145,254194,0.000212481,254194,254140,42980,1539,23,367624,35893,21/07/2013,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,2,wt100_101,1.937731485,1.93773,0.31897,0.26908,0.28818,0.0033,1.42758,0.269,0.24928,0,0,0,0,0,0,1,1,423494,0,0,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_101,2.897524809,2.89752,0.81357,0.69298,0.72769,0.00499,2.05948,0.69281,0.6466,0,0,0,0,0,0,1,1,423494,0,0,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,2,wt100_101,3.124835902,2.584497,0.399283,0.348948,0.348953,0.004744,2.150008,0.348788,0.315128,0,0,0,0,0,0,1,1,0,423494,0,21/07/2012,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,2,wt100_106,1.979248386,1.97925,0.38347,0.32923,0.34741,0.0036,1.53226,0.32913,0.30686,0,0,0,0,0,0,1,1,490550,0,0,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_106,2.393092792,2.39309,0.55338,0.45769,0.47794,0.00335,1.81831,0.45755,0.42249,0,0,0,0,0,0,1,1,490550,0,0,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,2,wt100_106,2.49564067,2.308032,0.371455,0.327072,0.327077,0.004691,1.884146,0.326938,0.29852,0,0,0,0,0,0,1,1,0,490550,0,21/07/2012,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,2,wt100_111,7215.488293,7215.48829,7212.76854,2713.52861,64.94893,0.21082,2.43715,2701.35271,75.19783,0.001963,84055,84220,0.002583241,84220,84003,124606,1405,524504,83339,143,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,2,wt100_111,7271.550285,7271.55028,7269.41429,2893.84477,57.23535,0.10747,1.97716,2872.34152,257.76829,0.007947177,84055,84723,0.011773389,84992,84003,81156,1315,524504,215974,54,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_111,7831.361609,7797.983529,7251.414747,1299.863798,83.642395,544.583396,1.944402,1295.920594,485.708549,0.001963,84055,84220,0.002583241,84220,84003,53064,1468,26,524504,82028,21/07/2013,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,2,wt100_116,7227.851268,7227.85127,7226.07444,2344.28597,46.95494,0.10628,1.62832,2331.86981,109.08455,0.001575034,191107,191408,0.002067143,191480,191085,101594,1316,456936,456936,129,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_116,7228.073552,7228.07355,7225.47387,3301.79463,52.24209,0.12076,2.43006,3287.63064,98.21334,0.000350567,191119,191186,0.000528561,191186,191085,158363,1286,456936,50967,137,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,2,wt100_116,7934.129392,7898.427254,7198.849955,1189.314432,51.474756,698.210038,1.331629,1186.104156,359.382531,0.000512802,191107,191205,0.000627993,191205,191085,77643,1465,41,456936,55071,21/07/2013,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,2,wt100_121,7209.340865,7209.34086,7207.67563,2599.69528,50.50843,0.14506,1.46598,2590.98238,118.67971,0.000756333,241957,242140,0.001202708,242245,241954,120931,1441,418768,85482,140,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_121,7228.66968,7228.66968,7225.59286,2680.45483,66.29124,0.12625,2.90711,2671.64083,61.33553,0.000252111,241957,242018,0.000264513,242018,241954,108504,1472,418768,38438,122,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,2,wt100_121,7593.857694,7561.4845,7173.136776,1155.368923,77.841837,386.49707,1.81116,1152.955071,291.551306,0.000256244,241957,242019,0.000268646,242019,241954,67337,1706,36,418768,38106,21/07/2013,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,4,wt100_001,124.0706895,124.07069,122.9008,68.4266,13.35767,0.08045,1.06767,64.75606,13.69678,0,2001,2001,0.005527638,2001,1990,2500,499,192376,111453,6,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,4,wt100_001,146.2513654,145.330722,37.918656,20.770972,5.757134,106.7918,0.560472,20.623525,8.977972,0,2001,2001,0.005527638,2001,1990,708,393,3,192376,109740,21/07/2012,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,4,wt100_001,7213.138159,7213.13816,7212.4007,372.2893,8.53341,0.05347,0.66829,347.54808,59.75222,0.010040161,1992,2012,0.012060302,2014,1990,28696,504,192376,114714,321,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,4,wt100_006,182.8743276,182.515455,10.802693,10.778037,10.778041,171.076121,0.570498,10.775213,1.77177,0,16893,16893,0,16893,16893,631,631,0,202332,0,21/07/2012,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,4,wt100_006,20.00075978,20.00076,18.82555,18.74595,18.77836,0.11967,0.99589,18.70075,0.3109,0,16893,16893,0,16893,16893,653,653,202332,0,0,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,4,wt100_006,7228.550449,7228.55045,7227.75228,807.00413,10.23028,0.06981,0.6929,782.53038,77.31846,0.00929379,16893,17050,0.00929379,17050,16893,37990,606,202332,95223,190,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,4,wt100_011,1360.936539,1360.93654,1359.85382,279.35384,24.84059,0.09913,0.94096,275.29015,14.22554,0,50232,50232,0.000717189,50232,50196,15923,778,198726,43937,59,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,4,wt100_011,7205.907275,7205.90727,7205.15206,995.59943,13.57499,0.09674,0.64312,967.3878,31.62528,0.00376479,50202,50391,0.003924616,50393,50196,89134,764,198726,71064,612,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,4,wt100_011,7531.628116,7391.567436,7061.911727,2396.299707,12.947076,328.840071,0.747632,2344.669389,991.939586,0.000358451,50216,50234,0.000876564,50240,50196,101050,710,393,198726,46895,21/07/2013,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,4,wt100_016,1844.705072,1844.70507,1843.49395,553.48437,29.42586,0.14398,1.04569,548.08231,20.83878,0,110219,110219,0.001044467,110219,110104,26697,945,208872,40695,37,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,4,wt100_016,4593.542732,4567.827355,4150.317143,1387.310223,10.742012,416.864409,0.578232,1383.095594,734.556424,0,110219,110219,0.001062632,110221,110104,34870,713,57,208872,40875,21/07/2012,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,4,wt100_016,7201.696281,7201.69628,7200.87336,1549.1343,19.47146,0.09834,0.69248,1535.01554,32.94847,0.001834596,110106,110308,0.002415898,110370,110104,156938,985,208872,60677,645,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,4,wt100_021,1080.796479,1080.79648,1079.91579,423.71775,23.85711,0.07651,0.79092,422.24458,3.15167,0,237393,237393,0.000130587,237420,237389,29739,1140,216244,25829,36,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
