NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,strong_branching,branching_point,refinement,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status
wt040_121,40,4,58.33883981098188,57.998766,16.643282999999997,12.46409700000001,1.1127409999999998,41.27773,0.07513900000000007,7.730446999999934,6.45543099999994,0,35751,35751,0.0003357676487776444,35751,35739,3671,269,12,21/06/23,15000,1,0.8,4,19852,1687,20,0.5,false,0,0,0,0,0,110,0,0
wt050_011,50,4,69.76190713600954,69.620654,1.8696549999999945,1.6809679999999787,0.916521000000003,67.680808,0.06768800000000397,0.8364210000000867,0.5099599999999924,0,12879,12879,0.000621552326888233,12879,12871,652,303,3,21/06/23,15000,1,0.8,4,24599,3657,20,0.5,false,0,0,0,0,0,110,0,0
wt050_016,50,4,79.62615733599523,79.472889,1.7306120000000078,1.6651709999999866,1.6030689999999908,77.648701,0.09030400000000327,0.7603730000002002,0.45397499999995716,0,25376,25376,3.940886699352083e-05,25376,25375,363,336,1,21/06/23,15000,1,0.8,4,23723,754,20,0.5,false,0,0,0,0,0,110,0,0
wt050_006,50,4,85.672516333987,85.468745,7.817484000000007,6.65275299999999,1.358743000000004,77.561062,0.0868239999999929,4.975032000000212,4.281730000000124,0,8317,8317,0.00228970836318514,8317,8298,675,299,2,21/06/23,15000,1,0.8,4,26973,7104,20,0.5,false,0,0,0,0,0,110,0,0
wt050_021,50,4,33.83085759798996,33.731525999999995,1.691874999999996,1.6857019999999991,1.6857050000000058,31.956196000000002,0.0811040000000034,0.6016160000000212,0.3339369999999988,0,59440,59440,0,59440,59440,445,445,0,21/06/23,15000,1,0.8,4,26292,0,20,0.5,false,0,0,0,0,0,110,0,0
wt050_026,50,4,58.00686628097901,57.889174,0.6748419999999982,0.6671050000000065,0.6671079999999989,57.123761,0.08704099999999926,0.34926099999994165,0.09584800000000371,0,54,54,0,54,54,196,196,0,21/06/23,15000,1,0.8,4,23982,0,20,0.5,false,0,0,0,0,0,110,0,0
wt050_031,50,4,89.30013598699588,89.167045,1.1308349999999905,1.1235450000000071,1.1235479999999995,87.938505,0.09427200000000369,0.5987010000000907,0.29828000000000543,0,3061,3061,0,3061,3061,261,261,0,21/06/23,15000,1,0.8,4,26835,0,20,0.5,false,0,0,0,0,0,110,0,0
wt050_036,50,4,75.51306173199555,75.369863,1.2652569999999912,1.2104850000000056,1.1748029999999972,74.027044,0.07500199999999779,0.48920599999991055,0.2602960000000394,0,10796,10796,9.26354793800245e-05,10796,10795,290,267,1,21/06/23,15000,1,0.8,4,28996,1528,20,0.5,false,0,0,0,0,0,110,0,0
wt050_051,50,4,0.10870188096305355,0.098566,0.021542999999999993,0.017558000000000004,0.017560000000000006,0.0010260000000000009,0.073396,0.017414,0.012539000000000008,0,0,0,0,0,0,1,1,0,21/06/23,15000,1,0.8,4,25194,0,20,0.5,false,0,0,0,0,0,110,0,0
wt050_056,50,4,58.020836404000875,57.855469,11.216683999999994,9.660924999999985,0.5827380000000062,46.566526,0.07222699999999804,8.197514999999925,7.12240599999997,0,570,570,0.059479553792788936,570,538,1017,199,4,21/06/23,15000,1,0.8,4,26349,11831,20,0.5,false,0,0,0,0,0,110,0,0
wt050_046,50,4,64.05117978999624,63.877752,3.543194999999997,3.3785799999999853,3.060217999999999,60.221546000000004,0.10957300000000458,1.5481519999999804,0.9606120000000047,0,44455,44455,6.748852694890019e-05,44455,44452,616,483,1,21/06/23,15000,1,0.8,4,26540,1341,20,0.5,false,0,0,0,0,0,110,0,0
wt050_041,50,4,109.64229385502404,109.309101,30.606993000000003,24.716118000000037,3.446241999999998,78.579366,0.11910999999999206,14.226330999999703,11.842755000000082,0,21806,21806,0.0010558692557932393,21806,21783,4262,316,10,21/06/23,15000,1,0.8,4,29661,3602,20,0.5,false,0,0,0,0,0,110,0,0
wt050_066,50,4,87.57726631400874,87.428958,3.6344330000000014,3.6255290000000002,3.6255310000000094,83.702855,0.08809599999999307,1.2492200000001645,0.8124750000000205,0,23138,23138,0,23138,23138,467,467,0,21/06/23,15000,1,0.8,4,23722,0,20,0.5,false,0,0,0,0,0,110,0,0
wt050_076,50,4,0.20263131201500073,0.162622,0.039291999999999994,0.03138100000000002,0.031382999999999994,0.0014939999999999988,0.118161,0.031207999999999986,0.023722999999999994,0,0,0,0,0,0,1,1,0,21/06/23,15000,1,0.8,4,30362,0,20,0.5,false,0,0,0,0,0,110,0,0
wt050_071,50,4,105.8891619000351,105.479616,26.64159699999999,20.8046810000001,1.6414029999999968,78.734312,0.10026899999999728,13.311134999999709,11.664089999999746,0,42645,42645,0.0004692082111326872,42645,42625,3573,291,7,21/06/23,15000,1,0.8,4,25627,3426,20,0.5,false,0,0,0,0,0,110,0,0
wt050_081,50,4,66.14367482298985,65.933463,1.454425999999998,1.3181869999999947,0.7990589999999997,64.397892,0.07738299999999754,0.9612909999999033,0.5489890000000059,0,495,495,0.035564853482081896,495,478,310,265,1,21/06/23,15000,1,0.8,4,31663,11047,20,0.5,false,0,0,0,0,0,110,0,0
wt050_091,50,4,59.56827214802615,59.375828,2.413920999999995,2.3077540000000027,1.927388999999998,56.847260999999996,0.11128199999999566,1.3291090000000523,1.0098130000000012,0,26551,26551,0.0001883522941238472,26551,26546,496,289,2,21/06/23,15000,1,0.8,4,31733,1492,20,0.5,false,0,0,0,0,0,110,0,0
wt050_096,50,4,109.27714258397464,108.510533,58.505036,44.05483799999985,2.0760349999999974,49.911233,0.09295500000000345,23.58887300000029,19.60855299999961,0,50326,50326,0.00027826363491258025,50326,50312,12979,428,42,21/06/23,15000,1,0.8,4,29286,2622,20,0.5,false,0,0,0,0,0,110,0,0
wt050_101,50,4,0.13839010801166296,0.101119,0.026545,0.021568000000000004,0.021569999999999992,0.0010230000000000013,0.071367,0.02138799999999999,0.01534400000000001,0,0,0,0,0,0,1,1,0,21/06/23,15000,1,0.8,4,27013,0,20,0.5,false,0,0,0,0,0,110,0,0
wt050_106,50,4,0.1267082979902625,0.116241,0.027088,0.023257,0.023258,0.0012780000000000014,0.084874,0.023082000000000005,0.017297999999999994,0,0,0,0,0,0,1,1,0,21/06/23,15000,1,0.8,4,31395,0,20,0.5,false,0,0,0,0,0,110,0,0
wt050_086,50,4,273.42471296101576,271.812599,158.463144,120.02047999999998,3.9826340000000044,113.22749400000001,0.1218900000000076,74.84106799999559,63.844411000001884,0,8369,8369,0.004923150815931418,8369,8328,21360,322,58,21/06/23,15000,1,0.8,4,29955,3480,20,0.5,false,0,0,0,0,0,110,0,0
wt050_111,50,4,124.95307374099502,124.456303,24.294397999999987,19.112710000000064,3.4792819999999978,100.034469,0.1245140000000049,10.277425000000108,8.396216999999979,0,10069,10069,0.002189708370439961,10069,10047,3863,398,12,21/06/23,15000,1,0.8,4,32995,2325,20,0.5,false,0,0,0,0,0,110,0,0
wt050_061,50,4,450.57354344800115,447.306372,380.59758700000003,300.44795299999987,1.4309549999999973,66.618223,0.08784800000000814,218.29005799999453,195.68368199999944,0,7898,7898,0.0061146496807497255,7898,7850,30344,310,69,21/06/23,15000,1,0.8,4,32396,6466,20,0.5,false,0,0,0,0,0,110,0,0
wt040_001,40,2,32.30190721096005,32.135337,4.711368999999998,3.9837670000000074,0.7759879999999981,27.325115999999998,0.09616699999999767,3.100992000000012,2.574488999999982,0,606,606,0.037671232812206794,606,584,475,194,2,21/06/23,15000,1,0.8,4,25468,14570,20,0.5,false,0,0,0,0,0,110,0,0
wt040_006,40,2,47.67306231701514,47.525557,13.368884999999999,11.733762999999989,2.166763000000003,34.042833,0.11380300000000432,10.41481200000009,9.542832000000054,0,3886,3886,0.0028387096766867848,3886,3875,1155,275,8,21/06/23,15000,1,0.8,4,27343,7889,20,0.5,false,0,0,0,0,0,110,0,0
wt050_116,50,4,161.23554139898624,160.608938,32.43598299999999,25.058541000000076,1.3788890000000151,128.07615,0.09336799999999812,15.701584999999767,13.16239600000037,0,11552,11552,0.0028648320164194087,11552,11519,6960,170,27,21/06/23,15000,1,0.8,4,26568,3829,20,0.5,false,0,0,0,0,0,110,0,0
wt040_011,40,2,34.00083925802028,33.872861,1.510585000000006,1.3734950000000055,1.0238569999999996,32.266033,0.0935050000000004,0.8030640000000417,0.4688980000000029,0,9617,9617,0.0026063386152412075,9617,9592,363,237,1,21/06/23,15000,1,0.8,4,26561,5943,20,0.5,false,0,0,0,0,0,110,0,0
wt040_021,40,2,28.010364116053097,27.882182,2.078199999999999,2.0713800000000013,2.071383000000001,25.728346,0.07315599999999733,0.9914149999999751,0.5531150000000018,0,41048,41048,0,41048,41048,613,613,0,21/06/23,15000,1,0.8,4,20451,59,20,0.5,false,0,0,0,0,0,110,0,0
wt050_121,50,4,158.49042330001248,157.784662,77.31830999999998,58.92680400000002,3.0272080000000017,80.343809,0.11923000000000172,33.514060000000086,28.579923999999593,0,23792,23792,0.0010097610231820195,23792,23768,9767,390,25,21/06/23,15000,1,0.8,4,27900,3372,20,0.5,false,0,0,0,0,0,110,0,0
wt040_026,40,2,22.068352362024598,21.996801,0.6661010000000012,0.6587980000000009,0.6588019999999979,21.209115,0.11891800000000075,0.4734399999999752,0.24013700000000426,0,87,87,0,87,87,141,141,0,21/06/23,15000,1,0.8,4,29758,0,20,0.5,false,0,0,0,0,0,110,0,0
wt040_031,40,2,55.45181694702478,55.247832,16.877187,14.437593999999997,1.3518370000000033,38.249479,0.12113599999999991,11.851799999999841,10.390810000000009,0,3812,3812,0.014369345392663825,3812,3758,1219,271,3,21/06/23,15000,1,0.8,4,34158,11558,20,0.5,false,0,0,0,0,0,110,0,0
wt040_041,40,2,43.25917070999276,43.081944,2.626047,2.544623999999992,2.404426000000001,40.350029,0.10449299999999795,1.530356999999917,0.9443799999999882,0,30802,30802,0.0001298785635388701,30802,30798,513,462,1,21/06/23,15000,1,0.8,4,30865,1414,20,0.5,false,0,0,0,0,0,110,0,0
wt040_016,40,2,158.90905847103568,157.77329699999999,134.21378700000002,102.7580180000001,1.2970889999999997,23.478711999999998,0.07987199999999817,62.59124299999975,51.28319999999964,0,38356,38356,0.0020639026046434176,38356,38277,32829,351,49,21/06/23,15000,1,0.8,4,28623,5613,20,0.5,false,0,0,0,0,0,110,0,0
wt040_051,40,2,0.14538277796236798,0.12813,0.02996800000000001,0.025049000000000002,0.025052000000000005,0.0005719999999999996,0.09563300000000001,0.02495299999999999,0.017797000000000007,0,0,0,0,0,0,1,1,0,21/06/23,15000,1,0.8,4,34810,0,20,0.5,false,0,0,0,0,0,110,0,0
wt040_036,40,2,113.10622217296623,112.536806,60.586858,48.59822000000005,1.6774410000000017,51.818694,0.12948800000000205,32.70514899999965,27.884644999999665,0,10713,10713,0.0049718574104153975,10713,10660,9298,332,29,21/06/23,15000,1,0.8,4,31597,5430,20,0.5,false,0,0,0,0,0,110,0,0
wt040_046,40,2,30.47697308799252,30.370043,1.8557069999999989,1.8515419999999985,1.8515429999999995,28.438829000000002,0.07389699999999877,0.8691640000000334,0.46886599999999845,0,34146,34146,0,34146,34146,502,502,0,21/06/23,15000,1,0.8,4,17388,0,20,0.5,false,0,0,0,0,0,110,0,0
wt040_056,40,2,28.76401856803568,28.640140000000002,5.399246999999999,4.903502000000003,1.8682230000000004,23.167904999999998,0.0716089999999987,4.521760999999962,3.9534640000000074,0,1279,1279,0.005503144649761678,1279,1272,466,252,3,21/06/23,15000,1,0.8,4,31487,14123,20,0.5,false,0,0,0,0,0,110,0,0
wt040_071,40,2,40.292163758014794,40.084092000000005,17.551251999999998,13.494235000000003,1.4753870000000013,22.459607,0.07136300000000162,6.374741999999891,4.792111999999953,0,47952,47952,0.00035464691769365503,47952,47935,6588,452,14,21/06/23,15000,1,0.8,4,25074,2532,20,0.5,false,0,0,0,0,0,110,0,0
wt040_076,40,2,0.11974382103653625,0.10583999999999999,0.024218000000000003,0.020192,0.020194000000000004,0.0005199999999999996,0.079384,0.020099000000000006,0.014601000000000017,0,0,0,0,0,0,1,1,0,21/06/23,15000,1,0.8,4,31206,0,20,0.5,false,0,0,0,0,0,110,0,0
wt040_081,40,2,50.749516826996114,50.502678,14.219827000000002,11.660678000000004,1.124058000000005,36.191168999999995,0.08973999999999904,8.608393999999976,6.738008999999984,0,571,571,0.26607538743663994,571,451,1706,292,8,21/06/23,15000,1,0.8,4,33177,12546,20,0.5,false,0,0,0,0,0,110,0,0
wt040_086,40,2,85.6840356499888,85.11970000000001,47.198232999999995,37.82836300000001,1.7629760000000019,37.831596,0.08832299999999549,25.928495999999363,21.622311000000074,0,6048,6048,0.008672448297419538,6048,5996,6912,399,10,21/06/23,15000,1,0.8,4,35968,4243,20,0.5,false,0,0,0,0,0,110,0,0
wt040_091,40,2,48.532740950002335,48.342363999999996,2.879558000000003,2.8668799999999948,2.8668830000000014,45.311702999999994,0.15107900000000285,1.4762440000000012,0.8548350000000013,0,26075,26075,0,26075,26075,448,448,0,21/06/23,15000,1,0.8,4,35659,46,20,0.5,false,0,0,0,0,0,110,0,0
wt040_061,40,2,262.27565713902004,260.560545,206.96100900000002,163.52842399999983,2.0792649999999995,53.481653,0.11784899999999965,111.69546700000099,94.107055,0,11488,11488,0.016457264199570228,11488,11302,26476,370,40,21/06/23,15000,1,0.8,4,34784,10178,20,0.5,false,0,0,0,0,0,110,0,0
wt040_101,40,2,0.199939186044503,0.183055,0.04567200000000002,0.03808,0.038083000000000006,0.0007570000000000007,0.134119,0.037387000000000004,0.027474,0,0,0,0,0,0,1,1,0,21/06/23,15000,1,0.8,4,37197,0,20,0.5,false,0,0,0,0,0,110,0,0
wt040_106,40,2,0.2077180999913253,0.181326,0.04327900000000001,0.03562599999999999,0.035628999999999994,0.0007360000000000005,0.13466499999999998,0.03548499999999999,0.026353000000000015,0,0,0,0,0,0,1,1,0,21/06/23,15000,1,0.8,4,41040,0,20,0.5,false,0,0,0,0,0,110,0,0
wt040_096,40,2,33.20057392702438,33.075480999999996,2.5223240000000047,2.364967999999994,1.8869589999999974,30.459179000000002,0.09149200000000235,1.400710999999994,0.8466129999999588,0,66116,66116,9.075782786128033e-05,66116,66110,788,487,2,21/06/23,15000,1,0.8,4,31251,1579,20,0.5,false,0,0,0,0,0,110,0,0
wt040_111,40,2,82.3183521880419,81.845799,28.610899000000003,22.635322000000023,3.0999319999999955,53.084899,0.14996599999999916,13.84082500000001,10.906178000000025,0,17936,17936,0.0021791361679511013,17936,17897,4934,397,15,21/06/23,15000,1,0.8,4,42861,3220,20,0.5,false,0,0,0,0,0,110,0,0
wt040_116,40,2,79.85095894901315,79.358097,44.357319000000004,35.96192299999991,1.7008169999999936,34.912301,0.08641200000000282,22.176873999998897,17.412711999999722,0,25870,25870,0.004114267970652295,25870,25764,10961,387,13,21/06/23,15000,1,0.8,4,34489,6397,20,0.5,false,0,0,0,0,0,110,0,0
wt040_121,40,2,39.78816634498071,39.652795000000005,4.909768,4.533371000000017,3.4031829999999985,34.586048000000005,0.1569110000000009,2.5228509999999886,1.7342400000000495,0,64516,64516,0.00013951974204133629,64516,64507,842,432,2,21/06/23,15000,1,0.8,4,34422,1361,20,0.5,false,0,0,0,0,0,110,0,0
wt050_001,50,2,38.284553794015665,38.106762999999994,13.917787,12.045707999999998,1.2249760000000016,24.051859,0.13463800000000248,10.770846000000013,9.249551000000025,0,1268,1268,0.029220779197061054,1268,1232,787,239,3,21/06/23,15000,1,0.8,4,43076,26370,20,0.5,false,0,0,0,0,0,110,0,0
wt050_011,50,2,49.6031910579768,49.442785,2.9149249999999967,2.720275000000008,1.643343999999999,46.391788999999996,0.13342699999999752,1.7186140000001089,1.0031180000000077,0,23028,23028,0.001217391304294896,23028,23000,697,408,1,21/06/23,15000,1,0.8,4,43454,8658,20,0.5,false,0,0,0,0,0,110,0,0
wt050_006,50,2,77.70067588903476,77.408805,14.296436,12.326747999999974,2.5947129999999916,62.931134,0.1775739999999999,9.536842000000348,7.809587999999948,0,14272,14272,0.0007713344084726643,14272,14261,1171,365,3,21/06/23,15000,1,0.8,4,47825,12785,20,0.5,false,0,0,0,0,0,110,0,0
wt050_016,50,2,66.2821850089822,65.900151,23.651013,19.064726000000014,2.313729000000002,42.149427,0.09722200000000214,12.004099000000124,9.365342000000105,0,46072,46072,0.0013257699245544376,46072,46011,4374,505,8,21/06/23,15000,1,0.8,4,38272,6536,20,0.5,false,0,0,0,0,0,110,0,0
wt050_021,50,2,47.39984379400266,47.23563,4.456340000000004,4.181053000000006,3.86289,42.620147,0.15579799999999722,2.1573679999998987,1.2268220000000127,0,111069,111069,1.8007148837926595e-05,111069,111067,838,660,4,21/06/23,15000,1,0.8,4,36837,1682,20,0.5,false,0,0,0,0,0,110,0,0
wt050_026,50,2,25.585854296048637,25.471722,1.2030200000000022,1.19745,1.197451000000001,24.133065,0.13431899999999786,0.8095889999999919,0.22361599999999981,0,26,26,0,26,26,295,295,0,21/06/23,15000,1,0.8,4,42722,0,20,0.5,false,0,0,0,0,0,110,0,0
wt050_036,50,2,89.75001343397889,89.265761,33.670128999999996,28.767252000000028,3.186461999999999,55.428473000000004,0.16451700000000358,21.295513000000298,17.517995999999847,0,18956,18956,0.003440791911310106,18956,18891,3606,486,6,21/06/23,15000,1,0.8,4,52878,9431,20,0.5,false,0,0,0,0,0,110,0,0
wt040_066,40,2,635.8167566820048,629.349827,585.526815,464.07969199999934,2.470923000000006,43.69382,0.12631999999999977,323.9796629999889,282.2847800000042,0,35279,35279,0.004241389125982311,35279,35130,72274,373,96,21/06/23,15000,1,0.8,4,34477,8321,20,0.5,false,0,0,0,0,0,110,0,0
wt050_031,50,2,168.4275793050183,167.658098,105.383196,91.97683899999996,2.2659169999999946,62.091924000000006,0.18274900000000116,79.9248749999999,72.47623000000041,0,5378,5378,0.01682737757291976,5378,5289,3862,329,7,21/06/23,15000,1,0.8,4,50634,21957,20,0.5,false,0,0,0,0,0,110,0,0
wt050_051,50,2,0.27817979198880494,0.237178,0.05197399999999999,0.04468999999999998,0.04469199999999998,0.001069999999999998,0.18063200000000001,0.04466999999999999,0.034142000000000006,0,0,0,0,0,0,1,1,0,21/06/23,15000,1,0.8,4,45580,0,20,0.5,false,0,0,0,0,0,110,0,0
wt050_041,50,2,72.01424348703586,71.567531,23.256338999999997,19.899250999999985,3.355587,48.155996,0.1545279999999991,12.884842000000127,10.256339999999817,0,38058,38058,0.0027930016862670478,38058,37952,3402,499,4,21/06/23,15000,1,0.8,4,50054,8828,20,0.5,false,0,0,0,0,0,110,0,0
wt050_056,50,2,71.19640911801253,70.904054,17.894039,15.186550000000004,1.6248119999999986,52.837047000000005,0.1692420000000041,13.003369999999983,10.97237099999996,0,761,761,0.04246575336648527,761,730,1004,253,3,21/06/23,15000,1,0.8,4,48655,23663,20,0.5,false,0,0,0,0,0,110,0,0
wt050_046,50,2,118.7863739739987,117.861334,66.113192,51.873379000000035,4.663227999999997,51.589180000000006,0.15569099999999736,23.967575999999603,17.911918999999784,0,82105,82105,0.0002558354855970002,82105,82084,10595,665,11,21/06/23,15000,1,0.8,4,41180,4450,20,0.5,false,0,0,0,0,0,110,0,0
