n,m,Inst,first_size_graph_AFBC,first_size_graph_TI,first_size_graph_ATI,gap_AFBC,gap_TI,gap_ATI,global_lower_bound_AFBC,global_lower_bound_TI,global_lower_bound_ATI,global_upper_bound_AFBC,global_upper_bound_TI,global_upper_bound_ATI,nb_generated_col_AFBC,nb_generated_col_TI,nb_generated_col_ATI,opt_AFBC,opt_TI,opt_ATI,reduction_AFBC,reduction_TI,reduction_ATI,rel_error_AFBC,rel_error_TI,rel_error_ATI,tot_bb_AFBC,tot_bb_TI,tot_bb_ATI,tot_cputime_AFBC,tot_cputime_TI,tot_cputime_ATI,tot_lb_AFBC,tot_lb_TI,tot_lb_ATI
40,2,111,85720,43420,848780,0.002179136166855263,0.003805686140695273,0.002179136166855263,17897,17868,17897,17936,17936,17936,384,406,413,False,False,False,0.9326178254674217,0.8751727314400006,0.9393505973268228,0.0021791361679511,0.0038056861426121,0.0021791361679511,2.006858000000001,1.4550699999999992,2.798601999999996,38.940727,47.930904,53.315698,2.002658000000004,1.450020000000002,2.795454999999997
40,2,116,68976,38519,753231,0.00411426796921508,0.005323903157298448,0.003257581632181191,25764,25733,25786,25870,25870,25870,345,387,346,False,False,False,0.8269832985266328,0.7801864014958803,0.9263028207801772,0.0041142679706522,0.0053239031591604,0.0032575816333181,1.890067000000002,0.7331720000000033,3.332653999999998,36.069434,47.885401,46.083169,1.885545999999998,0.7302110000000042,3.3248489999999933
40,2,121,68842,43536,851083,0.00013951974202187052,0.0004962471309943169,0.00013951974202187052,64507,64484,64507,64516,64516,64516,457,422,410,False,False,False,0.9714999564078398,0.8986126423902376,0.9448302926965468,0.0001395197420413,0.0004962471310635,0.0001395197420413,2.2114730000000016,1.1531950000000002,2.9729599999999934,26.44959,25.460242,41.337378,2.2074549999999995,1.14893,2.9681369999999987
40,4,1,29818,21455,400188,0.002283104970705366,0.002283104970705366,0.002283104970705366,438,438,438,439,439,439,144,155,164,False,False,False,0.6651686900306805,0.5133069214396034,0.7784816136396432,0.0022831050176184,0.0022831050176184,0.0022831050176184,0.2284240000000004,0.1286600000000035,0.7456229999999984,32.109193,32.602436,30.375731,0.2254290000000018,0.126529000000005,0.743465999999998
40,4,6,30492,20571,384303,0.0008431703168500407,0.0008431703168500407,0.0008431703168500407,2372,2372,2372,2374,2374,2374,195,198,133,False,False,False,0.8304145349327556,0.5666229157276446,0.8846977515114773,0.0008431703200492,0.0008431703200492,0.0008431703200492,0.3212060000000036,0.2079189999999968,0.5463140000000024,33.455288,32.651865,34.878218,0.3185770000000048,0.2048389999999997,0.5411860000000033
40,4,11,31256,20896,390292,0.00034873583199871697,0.00034873583199871697,0.00034873583199871697,5735,5735,5735,5737,5737,5737,213,250,259,False,False,False,0.8794151522626242,0.8265696783677943,0.9078126120932333,0.0003487358325459,0.0003487358325459,0.0003487358325459,0.4421980000000012,0.288456,0.910933,30.301938,29.415548,44.59081,0.4381009999999996,0.2855039999999995,0.9087109999999968
40,4,16,34062,21324,398064,0.0004189164027094971,0.0006517994316998932,0.0005120566052918459,21484,21479,21482,21493,21493,21493,274,235,288,False,False,False,0.9250484410508764,0.9102888763407293,0.9340834639632469,0.0004189164028849,0.000651799431973,0.0005120566055063,1.1833900000000028,0.6981540000000024,0.9925879999999978,48.176903,31.145538,41.139632000000006,1.1782260000000022,0.6928350000000023,0.9924719999999994
40,4,21,26756,19312,361208,0.0,4.387504385579368e-05,0.0,22793,22792,22793,22793,22793,22793,302,335,304,True,False,True,0.9999999999626252,0.9785107704547167,0.9450731988191151,0.0,4.387504387311885e-05,0.0,1.2775430000000014,1.4710609999999988,0.8355090000000018,36.475675,37.129574,34.422128,1.266999999999996,1.4692450000000008,0.8284909999999996
40,4,26,32844,22009,410663,0.0,0.0,0.0,88,88,88,88,88,88,124,110,120,True,True,True,0.999999999969553,0.999999999954564,0.9449378200594041,0.0,0.0,0.0,0.1918039999999976,0.0961870000000004,0.5690260000000009,26.529145,27.268251,26.796814,0.1873660000000008,0.0955719999999971,0.5618590000000019
40,4,31,36764,23595,439827,0.011618589697040906,0.014871382576883509,0.011618589697040906,2496,2488,2496,2525,2525,2525,197,140,154,False,False,False,0.7724404308352617,0.6547149819599613,0.8408374201655632,0.0116185897389348,0.0148713826306787,0.0116185897389348,0.3744159999999965,0.530467999999999,0.7785909999999987,48.282749,37.264079,37.692432,0.3725729999999956,0.5295649999999981,0.7747349999999997
40,4,36,37212,21035,392736,0.010228166781702335,0.010705289655690665,0.010228166781702335,6355,6352,6355,6420,6420,6420,187,198,182,False,False,False,0.8000376222508858,0.7822201093043869,0.9041366210357489,0.0102281667961875,0.0107052896708587,0.0102281667961875,0.8682170000000013,0.4750439999999969,0.7309459999999959,48.549984,49.491165,60.29576,0.8620109999999954,0.4706270000000003,0.7255060000000029
40,4,41,36346,21502,401289,0.0029490160477802893,0.003404255317217444,0.0028921401820958714,17633,17625,17634,17685,17685,17685,193,243,184,False,False,False,0.7977769217851269,0.7870430657247213,0.9055070036783827,0.0029490160492854,0.0034042553189557,0.0028921401835719,1.0806380000000004,0.3338000000000036,0.7713439999999991,32.765435,49.507439,47.046144,1.0733940000000004,0.329818000000003,0.7652890000000028
40,4,46,26098,16137,302760,0.0,0.0,0.0,19124,19124,19124,19124,19124,19124,263,317,282,True,True,True,0.9999999999616829,0.9999999999380306,0.9452470603747349,0.0,0.0,0.0,0.8671690000000041,1.557844000000003,0.6953260000000014,37.338865,40.949216,23.471378,0.8611219999999946,1.5505539999999982,0.6884529999999991
40,4,51,37056,25133,467850,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,True,True,True,0.9999999999730138,0.9999999999602116,0.9448049588523142,0.0,0.0,0.0,0.022312,0.007454,0.081767,0.1202469999999999,0.0268769999999999,0.19472,0.015461,0.0023199999999999,0.074179
40,4,56,34522,20384,380718,0.03508771885854989,0.03508771885854989,0.03508771885854989,798,798,798,826,826,826,126,155,130,False,False,False,0.5791089739708271,0.4882751177154496,0.6530870618130661,0.035087719254276,0.035087719254276,0.035087719254276,0.3221740000000039,0.2383079999999964,0.5839500000000015,52.788267,47.325784,43.72633,0.3159199999999984,0.233743000000004,0.5804609999999997
40,4,61,37862,20679,386286,0.0057416267864092594,0.007118412036798889,0.005604155268447027,7315,7305,7316,7357,7357,7357,268,270,207,False,False,False,0.8535735037543296,0.8193819816809622,0.9168491739257523,0.0057416267934734,0.007118412045569,0.0056041552753411,1.3163470000000004,1.356367000000006,1.3873710000000017,58.218907,52.508041,55.192518,1.3094229999999951,1.3510540000000049,1.3792939999999945
40,4,66,38538,21541,402070,0.00019756013226771368,0.00019756013226771368,0.00019756013226771368,20247,20247,20247,20251,20251,20251,277,239,287,False,False,False,0.9671233587376843,0.9617473654444201,0.9406794836696578,0.0001975601323555,0.0001975601323555,0.0001975601323555,1.6202359999999985,1.090958999999998,0.9675030000000008,48.438879,34.390403,33.242942,1.6127059999999958,1.0818390000000022,0.9624430000000004
40,4,71,33852,18943,354238,0.0,0.0,0.0,26740,26740,26740,26740,26740,26740,365,355,278,True,True,True,0.9999999999704596,0.99999999994721,0.9450623592021605,0.0,0.0,0.0,1.2061849999999978,0.5689700000000002,0.8555729999999997,34.537111,26.140961,36.411856,1.1993360000000024,0.5682690000000008,0.8505000000000038
40,4,76,34098,20824,388970,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,True,True,True,0.9999999999706728,0.9999999999519785,0.9449983289175387,0.0,0.0,0.0,0.0121259999999999,0.0033489999999999,0.036141,0.071518,0.005147,0.08423,0.0087779999999999,0.0013029999999999,0.0339719999999999
40,4,81,36966,19699,368119,0.044444443621399196,0.0502793286726382,0.036764705206531155,540,537,544,564,564,564,193,141,147,False,False,False,0.8380674132760356,0.7967917152750499,0.9166764008352823,0.0444444443621399,0.0502793295153085,0.0367647058147707,0.378428999999997,0.2110640000000003,0.5809059999999988,42.422904,48.131518,49.129974,0.3742149999999995,0.2040700000000015,0.5736399999999975
40,4,86,37700,20338,379657,0.0012714558142160293,0.0016959932124316448,0.0012714558142160293,4719,4717,4719,4725,4725,4725,268,245,220,False,False,False,0.9758620689396323,0.958452158473869,0.942316353969656,0.0012714558166409,0.0016959932156675,0.0012714558166409,1.2543909999999985,0.6396569999999997,1.1432710000000057,68.99229299999999,51.687449,60.473433,1.2459799999999888,0.6311259999999947,1.1326099999999997
40,4,91,38682,21498,401129,0.0007713569449306698,0.0019948519935683064,0.0007713569449306698,15557,15540,15557,15569,15571,15569,244,253,194,False,False,False,0.9490719197314236,0.8835240487076228,0.9393586601792955,0.0007713569453769,0.0019948519947236,0.0007713569453769,1.3645550000000028,0.373110000000004,1.3513620000000015,47.576656,40.877583,61.846965,1.3599819999999951,0.3691290000000009,1.340224999999997
40,4,96,36796,21868,408139,0.0,0.00011030831170086914,0.0,36266,36262,36266,36266,36266,36266,311,346,301,True,False,True,0.9999999999728231,0.9496524601724139,0.944952577428413,0.0,0.0001103083117282,0.0,0.894047999999998,0.7479359999999957,1.7310300000000003,27.859775,41.951603000000006,32.510313999999994,0.8892399999999974,0.7441619999999958,1.718653000000003
40,4,101,38696,22897,426708,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,True,True,True,0.9999999999741576,0.9999999999563262,0.9448686221000195,0.0,0.0,0.0,0.0136309999999999,0.003527,0.064219,0.0754259999999999,0.006017,0.152296,0.010023,0.0014339999999999,0.0589849999999999
40,4,106,42798,22232,414130,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,True,True,True,0.9999999999766345,0.9999999999550198,0.944843406657463,0.0,0.0,0.0,0.021331,0.005617,0.0654579999999999,0.111567,0.0134539999999999,0.1483,0.015866,0.0023199999999999,0.057178
40,4,111,44202,22620,421860,0.004548697819703266,0.007333869951405178,0.004548697819703266,11212,11181,11212,11263,11263,11263,197,223,237,False,False,False,0.8652097189976651,0.7983642793634675,0.9178590053550517,0.0045486978233545,0.0073338699573084,0.0045486978233545,1.0002060000000057,0.4771849999999986,0.9593769999999964,58.856376,48.36584,59.083815,0.994762999999999,0.4750489999999985,0.9527539999999988
40,4,116,39100,20279,378855,0.0017375635486597829,0.00264090176963549,0.0017375635486597829,15539,15525,15539,15566,15566,15566,287,248,231,False,False,False,0.8996675191585762,0.8478228709084361,0.9282126407176143,0.0017375635496661,0.0026409017711664,0.0017375635496661,0.7420819999999964,0.8015480000000039,1.3145159999999976,50.397952,58.294597,41.842406,0.7379389999999972,0.798690999999998,1.308768999999998
40,4,121,39702,22696,423342,0.0003357676486930894,0.00044774031049454584,0.0003357676486930894,35739,35735,35739,35751,35751,35751,318,269,203,False,False,False,0.9182912699380814,0.8937698272429604,0.9346651170898832,0.0003357676487776,0.0004477403106073,0.0003357676487776,1.0955709999999996,0.5540300000000009,0.715449999999997,34.966224000000004,27.425683,33.847091,1.092641999999998,0.5497929999999975,0.7098259999999996
50,2,1,86150,69125,1696188,0.029220778983597574,0.029220778983597574,0.029220778983597574,1232,1232,1232,1268,1268,1268,211,207,224,False,False,False,0.4018340104422306,0.2517757685316199,0.6822628152064026,0.029220779197061,0.029220779197061,0.029220779197061,1.604229,0.2530190000000019,4.441488,26.577627,34.549375,37.439291,1.599605999999998,0.2509790000000009,4.438294000000006
50,2,6,95648,68454,1679774,0.0007713344079858816,0.0012628034227144638,0.0007713344079858816,14261,14254,14261,14272,14272,14272,382,404,460,False,False,False,0.7211860153822225,0.5933911823911914,0.8588661331816906,0.0007713344084726,0.0012628034235118,0.0007713344084726,2.293292000000001,0.5957750000000033,7.579219999999999,46.922791,51.355756,51.176434,2.290014999999997,0.5936919999999972,7.576644999999999
50,2,11,86906,64132,1573834,0.0012173913038185256,0.0012173913038185256,0.0012173913038185256,23000,23000,23000,23028,23028,23028,417,511,431,False,False,False,0.8124870549695938,0.7518399550808982,0.9187220507366605,0.0012173913042948,0.0012173913042948,0.0012173913042948,2.579279,1.0266989999999936,4.89031,60.845587,60.382704,60.730633000000005,2.573825,1.0236769999999993,4.8859
50,2,16,76542,59810,1467894,0.0013257699242951097,0.0013475331446756067,0.0013257699242951097,46011,46010,46011,46072,46072,46072,459,517,488,False,False,False,0.8430534869634574,0.8516970406144173,0.9428868842021679,0.0013257699245544,0.0013475331449391,0.0013257699245544,1.808443000000004,1.8337300000000027,6.901077999999998,44.905078,63.864943,78.756348,1.804724,1.828920000000004,6.894106999999991
50,2,21,73672,67249,1650124,1.8007148836467435e-05,8.103727714019113e-05,1.8007148836467435e-05,111067,111060,111067,111069,111069,111069,662,649,647,False,False,False,0.9689162775414145,0.9416794301633976,0.9572523034626748,1.8007148837926595e-05,8.103727714675818e-05,1.8007148837926595e-05,4.797120999999997,3.2846910000000022,4.802849999999999,43.343314,33.343624,43.498424,4.789682000000006,3.2797399999999968,4.799607999999999
50,2,26,85442,61590,1511606,0.0,0.0,0.0,26,26,26,26,26,26,224,163,170,True,True,True,0.9999999999882963,0.9999999999837635,0.9584078126172042,0.0,0.0,0.0,1.1580829999999978,0.1859400000000022,3.251078999999997,32.879722,26.738562,29.907945,1.151730000000004,0.1829460000000011,3.2386180000000024
50,2,31,101266,66241,1625428,0.01682737754428554,0.01682737754428554,0.01682737754428554,5289,5289,5289,5378,5378,5378,361,311,354,False,False,False,0.5857839748722594,0.4816201446161499,0.7582538260687288,0.0168273775729197,0.0168273775729197,0.0168273775729197,2.1737910000000014,0.7400070000000056,8.450660000000006,49.842883,48.841579,58.433814,2.169803999999999,0.734726000000002,8.447889000000004
50,2,36,105754,66629,1635036,0.003440791909670853,0.0036533065051870036,0.0033345683568863768,18891,18887,18893,18956,18956,18956,394,459,425,False,False,False,0.8351646273348038,0.7977757432829883,0.9284058577297818,0.0034407919113101,0.0036533065069278,0.0033345683584748,3.0318790000000035,1.114970999999997,8.871219999999994,71.759847,59.676279,77.605539,3.021242000000001,1.1106679999999969,8.866610999999992
50,2,41,100106,63940,1569130,0.0027930016856047104,0.0048582140769767605,0.002344017487333346,37952,37874,37969,38058,38058,38058,529,499,459,False,False,False,0.8334765148858863,0.7459962464694089,0.9382007864224517,0.002793001686267,0.0048582140781312,0.0023440174878889,3.3756660000000025,3.0455439999999925,6.5139779999999945,52.306489,81.67639799999999,64.592795,3.370574000000005,3.035426000000001,6.509102999999996
50,2,46,82358,64758,1589222,0.0002558354855689494,0.00034114307292650275,0.00024364987509975636,82084,82077,82085,82105,82105,82105,604,579,601,False,False,False,0.9051943951904468,0.9040273016321686,0.9519664338896945,0.000255835485597,0.0003411430729639,0.0002436498751264,3.166775000000001,3.2216780000000043,7.296102000000005,49.695901000000006,51.503925,47.416719,3.162006999999996,3.2165660000000003,7.291230999999996
50,2,51,91158,61589,1511556,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,True,True,True,0.9999999999890301,0.9999999999837633,0.9584070983801074,0.0,0.0,0.0,0.055904,0.0063509999999999,0.282962,0.29996,0.015134,0.582213,0.047547,0.005832,0.265665
50,2,56,97308,57987,1423256,0.04246575284293489,0.04246575284293489,0.04246575284293489,730,730,730,761,761,761,227,209,212,False,False,False,0.4398405064286612,0.43461465500138624,0.6029582871945715,0.0424657533664852,0.0424657533664852,0.0424657533664852,1.6096160000000026,0.4041519999999963,4.5007129999999975,54.867118,52.110244,39.310473,1.6041390000000035,0.3990730000000013,4.497621000000002
50,2,61,120988,70226,1723086,0.0073626859023982584,0.00810492189205355,0.007066097448059696,13582,13572,13586,13682,13682,13682,446,434,413,False,False,False,0.7823585810098328,0.7608293224623242,0.9135957230220003,0.007362685907277,0.0081049218974281,0.0070660974527406,3.508361000000008,1.6166999999999945,6.676556000000005,72.950264,78.017495,80.790341,3.504655,1.611556000000007,6.669850999999994
50,2,66,84828,50687,1244304,0.0,0.0005136232449949559,7.3342460377141e-05,40907,40886,40904,40907,40907,40907,759,548,562,True,False,False,0.9999999999882115,0.9145145697927572,0.9571366804245931,0.0,0.000513623245108,7.334246039327834e-05,3.675930000000001,1.7459890000000016,4.922317999999997,52.432335,63.16897,53.668877,3.6580239999999975,1.7430900000000022,4.916118999999995
50,2,71,84580,63893,1568004,0.0,0.00014008991223493205,0.0,78532,78521,78532,78532,78532,78532,600,661,621,True,False,True,0.9999999999881769,0.94872677756642,0.9584044428451979,0.0,0.0001400899122509,0.0,4.198391999999998,3.246711999999995,8.377848,60.803652,54.491077,50.320285,4.183616000000001,3.240264000000004,8.357444999999998
50,2,76,115642,73205,1796148,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,True,True,True,0.9999999999913527,0.9999999999863398,0.9583954106226444,0.0,0.0,0.0,0.051717,0.0115639999999999,0.3494939999999999,0.26866,0.020859,0.693172,0.0451449999999999,0.007872,0.332569
50,2,81,121562,67925,1666788,0.007434944099722229,0.007434944099722229,0.007434944099722229,538,538,538,542,542,542,339,312,333,False,False,False,0.5785360556705341,0.5143614280380662,0.735030489779903,0.0074349442240986,0.0074349442240986,0.0074349442240986,2.6219079999999977,0.6062529999999953,6.917595000000006,63.878712,62.807802,63.881751,2.6174290000000013,0.6028949999999966,6.914590999999994
50,2,86,113546,59525,1460988,0.023640661919262524,0.025898692789298454,0.023056868157848406,12267,12240,12274,12557,12557,12557,505,502,468,False,False,False,0.7342046395228876,0.700142797132295,0.906184034365165,0.0236406619366071,0.0258986928083416,0.023056868174755,4.261788999999993,3.308066999999994,7.950963999999999,95.12184,89.597837,100.871624,4.256679000000005,3.306342000000001,7.9446570000000065
50,2,91,116190,67013,1644444,0.0011841075843815982,0.0013534947654957185,0.001162938216018324,47293,47285,47294,47349,47349,47349,544,523,538,False,False,False,0.8764953954653887,0.8575500275937871,0.9431929576191447,0.0011841075846069,0.0013534947657533,0.0011629382162396,3.640059000000001,2.6162999999999954,6.085594,55.858810000000005,64.61165399999999,69.687505,3.6399430000000015,2.6114040000000003,6.081453000000003
50,2,96,101236,67445,1655028,0.0002262906649468981,0.0002586262634691883,0.00020473476070765657,92801,92798,92803,92822,92822,92822,617,595,553,False,False,False,0.9321190090389574,0.9223367187942423,0.9533029048445384,0.0002262906649688,0.0002586262634942,0.0002047347607275,3.401877000000006,2.3624500000000026,5.412934999999997,57.968717000000005,45.758747,54.949898000000005,3.397912000000005,2.3569609999999983,5.408591000000001
50,2,101,102596,59233,1453732,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,True,True,True,0.9999999999902531,0.9999999999831175,0.9584070516429725,0.0,0.0,0.0,0.0479729999999999,0.0049899999999999,0.21759,0.243641,0.009319,0.417649,0.042159,0.00375,0.206925
50,2,106,118156,61829,1517436,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,True,True,True,0.9999999999915367,0.9999999999838264,0.9584068125436865,0.0,0.0,0.0,0.0566389999999999,0.0054579999999999,0.232698,0.291906,0.009753,0.454222,0.049799,0.004111,0.223754
50,2,111,128610,66150,1623326,0.0013510905221957856,0.0029642995212241915,0.0013510905221957856,15543,15518,15543,15564,15564,15564,587,568,562,False,False,False,0.9429748853048521,0.8917611488905253,0.9524291485499817,0.0013510905229781,0.0029642995229434,0.0013510905229781,5.204933000000011,1.9636349999999965,12.453420000000008,72.500449,64.806488,77.62705100000001,5.197642999999999,1.960383,12.44773099999999
